0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Ямало-Ненецкий автономный округ,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,515960,250326,265634,439508,212751,226757,76452,37575,38877,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,6649,3428,3221,5375,2754,2621,1274,674,600,
1,6799,3441,3358,5442,2752,2690,1357,689,668,
2,7337,3709,3628,6104,3057,3047,1233,652,581,
3,6284,3147,3137,4949,2484,2465,1335,663,672,
4,6449,3277,3172,5091,2587,2504,1358,690,668,
5,6911,3550,3361,5387,2798,2589,1524,752,772,
6,7078,3659,3419,5560,2868,2692,1518,791,727,
7,7767,4026,3741,6322,3288,3034,1445,738,707,
8,8358,4262,4096,6786,3465,3321,1572,797,775,
9,8102,4161,3941,6472,3309,3163,1630,852,778,
10,8053,4066,3987,6489,3278,3211,1564,788,776,
11,8280,4341,3939,6680,3497,3183,1600,844,756,
12,7764,3969,3795,6291,3201,3090,1473,768,705,
13,7952,4069,3883,6480,3277,3203,1472,792,680,
14,7904,3994,3910,6352,3198,3154,1552,796,756,
15,7399,3791,3608,5920,3019,2901,1479,772,707,
16,6868,3491,3377,5491,2833,2658,1377,658,719,
17,6589,3360,3229,5359,2754,2605,1230,606,624,
18,5978,2902,3076,4940,2376,2564,1038,526,512,
19,5529,2691,2838,4567,2172,2395,962,519,443,
20,4913,2519,2394,4099,2095,2004,814,424,390,
21,4798,2519,2279,3950,2100,1850,848,419,429,
22,4490,2238,2252,3669,1866,1803,821,372,449,
23,5692,2946,2746,4803,2480,2323,889,466,423,
24,5608,2883,2725,4741,2407,2334,867,476,391,
25,5963,3109,2854,5005,2620,2385,958,489,469,
26,5483,2855,2628,4572,2386,2186,911,469,442,
27,5688,2875,2813,4759,2417,2342,929,458,471,
28,6534,3307,3227,5525,2804,2721,1009,503,506,
29,6268,3179,3089,5241,2638,2603,1027,541,486,
30,6166,3125,3041,5270,2658,2612,896,467,429,
31,6895,3466,3429,5782,2891,2891,1113,575,538,
