0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Южный федеральный округ,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,16624081,7790114,8833967,10515808,4864088,5651720,6108273,2926026,3182247,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,137333,70703,66630,89606,46185,43421,47727,24518,23209,
1,140717,72248,68469,90694,46475,44219,50023,25773,24250,
2,157179,81113,76066,102273,52928,49345,54906,28185,26721,
3,160253,82066,78187,106134,54404,51730,54119,27662,26457,
4,166083,85239,80844,109103,56014,53089,56980,29225,27755,
5,178498,92276,86222,117566,60671,56895,60932,31605,29327,
6,187857,96560,91297,124007,63710,60297,63850,32850,31000,
7,209036,107207,101829,138392,70888,67504,70644,36319,34325,
8,217385,111369,106016,141424,72251,69173,75961,39118,36843,
9,216117,110541,105576,134516,68639,65877,81601,41902,39699,
10,212126,108661,103465,130487,66916,63571,81639,41745,39894,
11,213631,110052,103579,130588,67206,63382,83043,42846,40197,
12,201105,102976,98129,121461,61837,59624,79644,41139,38505,
13,195073,99801,95272,113705,58224,55481,81368,41577,39791,
14,191246,97401,93845,110935,56387,54548,80311,41014,39297,
15,198194,101956,96238,116701,59814,56887,81493,42142,39351,
16,187918,96628,91290,111232,57112,54120,76686,39516,37170,
17,170777,87192,83585,102268,52185,50083,68509,35007,33502,
18,169035,85563,83472,105408,53573,51835,63627,31990,31637,
19,163149,83444,79705,99006,51259,47747,64143,32185,31958,
20,166407,85105,81302,101698,52185,49513,64709,32920,31789,
21,164116,85128,78988,101098,52576,48522,63018,32552,30466,
22,155320,80867,74453,94729,49481,45248,60591,31386,29205,
23,167997,86614,81383,104899,54052,50847,63098,32562,30536,
24,155181,80335,74846,96002,49473,46529,59179,30862,28317,
25,156655,80393,76262,96216,48518,47698,60439,31875,28564,
26,152259,77406,74853,94655,47228,47427,57604,30178,27426,
27,167394,85213,82181,106058,53444,52614,61336,31769,29567,
28,184198,93254,90944,118281,59015,59266,65917,34239,31678,
29,179224,90858,88366,113616,56676,56940,65608,34182,31426,
30,186647,93041,93606,120462,58727,61735,66185,34314,31871,
31,207928,103679,104249,136870,66666,70204,71058,37013,34045,
32,226768,113574,113194,150866,74408,76458,75902,39166,36736,
33,272031,136479,135552,185765,91459,94306,86266,45020,41246,
34,273105,135338,137767,183600,88705,94895,89505,46633,42872,
35,276664,136255,140409,184247,88850,95397,92417,47405,45012,
36,290125,142990,147135,192315,92707,99608,97810,50283,47527,
37,295377,146572,148805,196367,95358,101009,99010,51214,47796,
38,299196,147812,151384,200798,97409,103389,98398,50403,47995,
39,281717,138435,143282,185475,89478,95997,96242,48957,47285,
40,286820,140267,146553,189353,90761,98592,97467,49506,47961,
41,268131,130702,137429,175812,84339,91473,92319,46363,45956,
42,255171,124883,130288,166670,80131,86539,88501,44752,43749,
43,283226,140041,143185,189941,92870,97071,93285,47171,46114,
44,252876,123059,129817,164728,79075,85653,88148,43984,44164,
45,247334,119973,127361,161351,77250,84101,85983,42723,43260,
46,233006,111972,121034,149615,70753,78862,83391,41219,42172,
47,240341,116120,124221,154452,73975,80477,85889,42145,43744,
48,243468,116747,126721,157685,74657,83028,85783,42090,43693,
49,228179,109682,118497,144541,68726,75815,83638,40956,42682,
50,218918,104494,114424,138495,65307,73188,80423,39187,41236,
51,222223,105288,116935,140139,65562,74577,82084,39726,42358,
52,211296,100600,110696,131946,61980,69966,79350,38620,40730,
53,227804,109761,118043,146350,69893,76457,81454,39868,41586,
54,200386,94399,105987,125552,58112,67440,74834,36287,38547,
55,201565,94279,107286,124848,57218,67630,76717,37061,39656,
56,189484,87305,102179,114692,51761,62931,74792,35544,39248,
57,193735,89153,104582,116269,52171,64098,77466,36982,40484,
