0,1,2,3,4,5,6,7,8,9,10
"1.1.2. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ПОЛУ И ВОЗРАСТУ
в среднем за 2023 г.",,,,,,,,,,Содержание
(человек),,,,,,,,,,
,,,,,,,,,,
"Возраст
(лет)",Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
0,1281040,659125,621915,962171,495496,466675,318869,163629,155240,
1,1345978,692133,653845,1012649,520808,491841,333329,171325,162004,
2,1407813,724715,683098,1061707,546619,515088,346106,178096,168010,
3,1453029,747844,705185,1096997,564364,532633,356032,183480,172552,
4,1541929,794418,747511,1162981,598970,564011,378948,195448,183500,
0 – 4,7029789,3618235,3411554,5296505,2726257,2570248,1733284,891978,841306,
5,1646325,848142,798183,1242414,640021,602393,403911,208121,195790,
6,1787965,919656,868309,1356275,697292,658983,431690,222364,209326,
7,1919144,986495,932649,1457206,748957,708249,461938,237538,224400,
8,1942894,999321,943573,1444293,742708,701585,498601,256613,241988,
9,1927248,991340,935908,1405132,722534,682598,522116,268806,253310,
5 – 9,9223576,4744954,4478622,6905320,3551512,3353808,2318256,1193442,1124814,
10,1924835,990004,934831,1397138,718996,678142,527697,271008,256689,
11,1877788,965960,911828,1357024,698270,658754,520764,267690,253074,
12,1800003,926239,873764,1298427,667717,630710,501576,258522,243054,
13,1750935,900889,850046,1259823,647855,611968,491112,253034,238078,
14,1724883,885429,839454,1230807,631414,599393,494076,254015,240061,
10 – 14,9078444,4668521,4409923,6543219,3364252,3178967,2535225,1304269,1230956,
15,1671237,857096,814141,1187166,608244,578922,484071,248852,235219,
16,1554866,798400,756466,1126834,578258,548576,428032,220142,207890,
17,1508062,775381,732681,1116104,573199,542905,391958,202182,189776,
18,1501162,767206,733956,1125398,573186,552212,375764,194020,181744,
19,1517566,779161,738405,1136935,579930,557005,380631,199231,181400,
15 – 19,7752893,3977244,3775649,5692437,2912817,2779620,2060456,1064427,996029,
20,1533031,794132,738899,1152505,594522,557983,380526,199610,180916,
21,1467406,762354,705052,1101902,570388,531514,365504,191966,173538,
22,1473048,763755,709293,1105908,570855,535053,367140,192900,174240,
23,1477332,764570,712762,1112892,573642,539250,364440,190928,173512,
24,1414695,725556,689139,1055669,537060,518609,359026,188496,170530,
20 – 24,7365512,3810367,3555145,5528876,2846467,2682409,1836636,963900,872736,
25,1383692,709567,674125,1024582,518389,506193,359110,191178,167932,
26,1418434,723293,695141,1058444,532509,525935,359990,190784,169206,
27,1540812,779290,761522,1163018,580022,582996,377794,199268,178526,
28,1566020,790187,775833,1181842,586667,595175,384178,203520,180658,
29,1556281,782541,773740,1176921,581121,595800,379360,201420,177940,
25 – 29,7465239,3784878,3680361,5604807,2798708,2806099,1860432,986170,874262,
30,1674566,834118,840448,1282880,626056,656824,391686,208062,183624,
31,1867108,926882,940226,1442754,702502,740252,424354,224380,199974,
32,2169756,1080602,1089154,1691400,828472,862928,478356,252130,226226,
33,2404716,1194550,1210166,1881656,919098,962558,523060,275452,247608,
34,2457627,1212801,1244826,1914181,927903,986278,543446,284898,258548,
30 – 34,10573773,5248953,5324820,8212871,4004031,4208840,2360902,1244922,1115980,
35,2543857,1253465,1290392,1973893,955139,1018754,569964,298326,271638,
36,2616421,1291415,1325006,2033882,986082,1047800,582539,305333,277206,
37,2626737,1296030,1330707,2051850,995329,1056521,574887,300701,274186,
38,2543746,1251219,1292527,1982861,960201,1022660,560885,291018,269867,
39,2484967,1213847,1271120,1927406,926806,1000600,557561,287041,270520,
35 – 39,12815728,6305976,6509752,9969892,4823557,5146335,2845836,1482419,1363417,
40,2436599,1181594,1255005,1888010,901060,986950,548589,280534,268055,
41,2300795,1113092,1187703,1777558,846516,931042,523237,266576,256661,
42,2343868,1139774,1204094,1819252,872728,946524,524616,267046,257570,
43,2330308,1130042,1200266,1807934,865448,942486,522374,264594,257780,
44,2192683,1052624,1140059,1686913,798681,888232,505770,253943,251827,
40 – 44,11604253,5617126,5987127,8979667,4284433,4695234,2624586,1332693,1291893,
45,2112938,1007584,1105354,1615866,759528,856338,497072,248056,249016,
46,2094805,995785,1099020,1597075,748605,848470,497730,247180,250550,
47,2140694,1017424,1123270,1633679,766404,867275,507015,251020,255995,
48,2074857,984380,1090477,1573225,736664,836561,501632,247716,253916,
49,1959162,926262,1032900,1474336,687704,786632,484826,238558,246268,
45 – 49,10382456,4931435,5451021,7894181,3698905,4195276,2488275,1232530,1255745,
50,1920812,904092,1016720,1441292,668968,772324,479520,235124,244396,
51,1890770,889058,1001712,1411122,654030,757092,479648,235028,244620,
52,1909215,903398,1005817,1424472,665134,759338,484743,238264,246479,
53,1866814,880629,986185,1386914,645167,741747,479900,235462,244438,
54,1763022,820470,942552,1292248,591218,701030,470774,229252,241522,
50 – 54,9350633,4397647,4952986,6956048,3224517,3731531,2394585,1173130,1221455,
55,1702025,784062,917963,1232526,556576,675950,469499,227486,242013,
56,1676110,763748,912362,1202133,535535,666598,473977,228213,245764,
57,1775227,805205,970022,1277535,567027,710508,497692,238178,259514,
58,1816729,814193,1002536,1304983,571137,733846,511746,243056,268690,
59,1873818,827498,1046320,1339362,575492,763870,534456,252006,282450,
55 – 59,8843909,3994706,4849203,6356539,2805767,3550772,2487370,1188939,1298431,
60,1961040,855008,1106032,1399762,592012,807750,561278,262996,298282,
61,2003078,861030,1142048,1424820,591512,833308,578258,269518,308740,
62,2136642,915149,1221493,1526424,632008,894416,610218,283141,327077,
63,2134315,904501,1229814,1527261,625497,901764,607054,279004,328050,
64,2025671,841461,1184210,1451068,581104,869964,574603,260357,314246,
60 – 64,10260746,4377149,5883597,7329335,3022133,4307202,2931411,1355016,1576395,
65,1952749,799135,1153614,1402820,552952,849868,549929,246183,303746,
66,1871973,754259,1117714,1351947,525049,826898,520026,229210,290816,
67,1838966,729415,1109551,1344241,515473,828768,494725,213942,280783,
68,1786324,695143,1091181,1312558,494122,818436,473766,201021,272745,
69,1645592,627494,1018098,1214432,447940,766492,431160,179554,251606,
65 – 69,9095604,3605446,5490158,6625998,2535536,4090462,2469606,1069910,1399696,
70,1541168,577674,963494,1145658,415690,729968,395510,161984,233526,
71,1478377,541864,936513,1105317,391948,713369,373060,149916,223144,
72,1412134,510262,901872,1065500,373772,691728,346634,136490,210144,
73,1379341,489891,889450,1048548,362226,686322,330793,127665,203128,
74,1212755,418065,794690,927982,311010,616972,284773,107055,177718,
70 – 74,7023775,2537756,4486019,5293005,1854646,3438359,1730770,683110,1047660,
75,1033586,348957,684629,799281,263480,535801,234305,85477,148828,
76,925634,305089,620545,722388,233838,488550,203246,71251,131995,
77,703545,231084,472461,557089,181196,375893,146456,49888,96568,
78,452570,147242,305328,360909,116906,244003,91661,30336,61325,
79,341354,105790,235564,264898,81892,183006,76456,23898,52558,
75 – 79,3456689,1138162,2318527,2704565,877312,1827253,752124,260850,491274,
80,386834,113584,273250,291162,85424,205738,95672,28160,67512,
81,539543,147058,392485,403169,109558,293611,136374,37500,98874,
82,629803,166683,463120,470320,124558,345762,159483,42125,117358,
83,627960,161857,466103,468048,120774,347274,159912,41083,118829,
84,588175,144132,444043,437870,106948,330922,150305,37184,113121,
80 – 84,2772315,733314,2039001,2070569,547262,1523307,701746,186052,515694,
85,518797,125019,393778,388765,93321,295444,130032,31698,98334,
86,412669,99590,313079,307331,73954,233377,105338,25636,79702,
87,305597,73433,232164,224151,54061,170090,81446,19372,62074,
88,217476,51098,166378,160144,37776,122368,57332,13322,44010,
89,153920,34505,119415,113044,25312,87732,40876,9193,31683,
85 – 89,1608459,383645,1224814,1193435,284424,909011,415024,99221,315803,
90,143124,31336,111788,104276,22748,81528,38848,8588,30260,
91,121675,26389,95286,88267,19187,69080,33408,7202,26206,
92,92705,20439,72266,66719,14895,51824,25986,5544,20442,
93,72421,15781,56640,51880,11508,40372,20541,4273,16268,
94,50638,10264,40374,36276,7518,28758,14362,2746,11616,
90 – 94,480563,104209,376354,347418,75856,271562,133145,28353,104792,
95,37380,7791,29589,26976,5829,21147,10404,1962,8442,
96,26401,5742,20659,19381,4381,15000,7020,1361,5659,
97,18467,4103,14364,13964,3273,10691,4503,830,3673,
98,12618,2746,9872,9943,2327,7616,2675,419,2256,
99,8411,1833,6578,6754,1568,5186,1657,265,1392,
95 – 99,103277,22215,81062,77018,17378,59640,26259,4837,21422,
100 и более,11474,3095,8379,9547,2665,6882,1927,430,1497,
Всё население,146299107,68005033,78294074,109591252,50258435,59332817,36707855,17746598,18961257,
