0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Ненецкий автономный округ,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,42224,20056,22168,31582,14706,16876,10642,5350,5292,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,510,244,266,359,166,193,151,78,73,
1,489,229,260,323,146,177,166,83,83,
2,455,241,214,336,176,160,119,65,54,
3,480,263,217,355,194,161,125,69,56,
4,473,245,228,355,180,175,118,65,53,
5,552,301,251,417,227,190,135,74,61,
6,549,255,294,401,196,205,148,59,89,
7,688,360,328,531,284,247,157,76,81,
8,717,383,334,561,301,260,156,82,74,
9,611,314,297,491,244,247,120,70,50,
10,621,321,300,495,259,236,126,62,64,
11,679,352,327,510,276,234,169,76,93,
12,578,295,283,439,235,204,139,60,79,
13,642,349,293,468,252,216,174,97,77,
14,630,318,312,469,233,236,161,85,76,
15,605,311,294,454,229,225,151,82,69,
16,571,304,267,433,225,208,138,79,59,
17,526,256,270,394,192,202,132,64,68,
18,524,263,261,414,202,212,110,61,49,
19,506,258,248,437,221,216,69,37,32,
20,487,271,216,412,232,180,75,39,36,
21,439,261,178,349,200,149,90,61,29,
22,432,235,197,322,166,156,110,69,41,
23,427,234,193,315,168,147,112,66,46,
24,389,211,178,272,146,126,117,65,52,
25,390,191,199,295,138,157,95,53,42,
26,472,236,236,354,169,185,118,67,51,
27,413,195,218,306,141,165,107,54,53,
28,453,265,188,323,177,146,130,88,42,
29,484,217,267,357,143,214,127,74,53,
30,453,202,251,358,158,200,95,44,51,
31,549,248,301,421,182,239,128,66,62,
32,645,298,347,482,205,277,163,93,70,
33,709,325,384,542,243,299,167,82,85,
34,772,333,439,594,254,340,178,79,99,
35,810,383,427,654,293,361,156,90,66,
36,858,412,446,675,295,380,183,117,66,
37,820,384,436,655,294,361,165,90,75,
38,853,414,439,685,331,354,168,83,85,
39,735,363,372,592,281,311,143,82,61,
40,749,386,363,625,314,311,124,72,52,
41,790,372,418,624,282,342,166,90,76,
42,702,346,356,559,266,293,143,80,63,
43,771,398,373,627,323,304,144,75,69,
44,694,347,347,552,273,279,142,74,68,
45,702,313,389,559,236,323,143,77,66,
46,642,300,342,505,232,273,137,68,69,
47,610,310,300,471,227,244,139,83,56,
48,647,330,317,515,255,260,132,75,57,
49,562,294,268,424,214,210,138,80,58,
50,491,221,270,355,162,193,136,59,77,
51,525,271,254,385,198,187,140,73,67,
52,487,211,276,338,139,199,149,72,77,
53,509,243,266,363,166,197,146,77,69,
54,438,198,240,291,128,163,147,70,77,
55,406,197,209,279,133,146,127,64,63,
56,417,205,212,265,122,143,152,83,69,
57,506,228,278,333,147,186,173,81,92,
58,528,243,285,346,151,195,182,92,90,
59,430,177,253,301,123,178,129,54,75,
60,493,210,283,313,127,186,180,83,97,
61,487,204,283,318,119,199,169,85,84,
62,506,213,293,331,126,205,175,87,88,
63,529,240,289,339,151,188,190,89,101,
64,495,203,292,333,130,203,162,73,89,
65,481,200,281,323,136,187,158,64,94,
66,447,178,269,297,114,183,150,64,86,
67,464,191,273,316,121,195,148,70,78,
68,425,171,254,292,113,179,133,58,75,
69,410,162,248,296,116,180,114,46,68,
70,337,122,215,245,82,163,92,40,52,
71,327,126,201,243,94,149,84,32,52,
72,278,100,178,187,70,117,91,30,61,
73,267,101,166,204,79,125,63,22,41,
74,283,106,177,220,80,140,63,26,37,
75,213,72,141,144,49,95,69,23,46,
76,187,52,135,140,47,93,47,5,42,
77,135,49,86,94,34,60,41,15,26,
78,78,27,51,60,22,38,18,5,13,
79,57,16,41,49,14,35,8,2,6,
80,55,16,39,41,13,28,14,3,11,
81,104,31,73,70,21,49,34,10,24,
82,109,35,74,78,27,51,31,8,23,
83,65,18,47,45,15,30,20,3,17,
84,77,22,55,57,16,41,20,6,14,
85,77,21,56,53,11,42,24,10,14,
86,52,9,43,40,8,32,12,1,11,
87,45,7,38,38,6,32,7,1,6,
88,32,4,28,21,3,18,11,1,10,
89,23,3,20,16,2,14,7,1,6,
90,30,8,22,20,8,12,10,–,10,
91,7,4,3,4,3,1,3,1,2,
92,12,2,10,10,2,8,2,–,2,
93,5,1,4,2,1,1,3,–,3,
94,8,–,8,6,–,6,2,–,2,
95,3,–,3,2,–,2,1,–,1,
96,6,2,4,4,1,3,2,1,1,
97,5,–,5,3,–,3,2,–,2,
98,2,–,2,1,–,1,1,–,1,
99,2,–,2,2,–,2,–,–,–,
100 и более,4,–,4,3,–,3,1,–,1,
моложе трудоспособного,9279,4781,4498,6964,3598,3366,2315,1183,1132,
трудоспособного,25412,12976,12436,19357,9519,9838,6055,3457,2598,
старше трудоспособного,7533,2299,5234,5261,1589,3672,2272,710,1562,
