0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Пензенская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,1236113,562747,673366,851348,379658,471690,384765,183089,201676,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,8229,4246,3983,5814,3025,2789,2415,1221,1194,
1,8431,4366,4065,5912,3038,2874,2519,1328,1191,
2,9493,4852,4641,6721,3436,3285,2772,1416,1356,
3,9538,4841,4697,6778,3437,3341,2760,1404,1356,
4,10187,5239,4948,7356,3790,3566,2831,1449,1382,
5,10745,5349,5396,7452,3673,3779,3293,1676,1617,
6,11482,5850,5632,8106,4149,3957,3376,1701,1675,
7,13245,6637,6608,9322,4667,4655,3923,1970,1953,
8,13862,6999,6863,9811,4904,4907,4051,2095,1956,
9,14347,7253,7094,10007,4995,5012,4340,2258,2082,
10,13959,7106,6853,9732,4921,4811,4227,2185,2042,
11,14139,7207,6932,9858,4992,4866,4281,2215,2066,
12,13336,6976,6360,9312,4866,4446,4024,2110,1914,
13,14052,7295,6757,9850,5091,4759,4202,2204,1998,
14,13772,7121,6651,9534,4961,4573,4238,2160,2078,
15,13545,6898,6647,9136,4622,4514,4409,2276,2133,
16,12372,6400,5972,8464,4336,4128,3908,2064,1844,
17,11728,6009,5719,8149,4172,3977,3579,1837,1742,
18,11400,5861,5539,8147,4219,3928,3253,1642,1611,
19,11956,6078,5878,8583,4343,4240,3373,1735,1638,
20,11867,6216,5651,8571,4462,4109,3296,1754,1542,
21,11309,5905,5404,8107,4238,3869,3202,1667,1535,
22,11157,5607,5550,7918,3960,3958,3239,1647,1592,
23,10782,5533,5249,8107,4058,4049,2675,1475,1200,
24,11139,5627,5512,7913,3975,3938,3226,1652,1574,
25,10878,5557,5321,7621,3766,3855,3257,1791,1466,
26,10249,5253,4996,6975,3466,3509,3274,1787,1487,
27,10852,5531,5321,7460,3695,3765,3392,1836,1556,
28,12031,6099,5932,8415,4160,4255,3616,1939,1677,
29,11783,6006,5777,8141,4040,4101,3642,1966,1676,
30,12721,6352,6369,8849,4312,4537,3872,2040,1832,
31,13975,6995,6980,9682,4683,4999,4293,2312,1981,
32,16188,7883,8305,11284,5325,5959,4904,2558,2346,
33,18699,9393,9306,13442,6585,6857,5257,2808,2449,
34,19987,9987,10000,14463,7027,7436,5524,2960,2564,
35,20817,10295,10522,14623,6998,7625,6194,3297,2897,
36,21493,10742,10751,15161,7357,7804,6332,3385,2947,
37,21196,10361,10835,15304,7215,8089,5892,3146,2746,
38,21440,10661,10779,15694,7585,8109,5746,3076,2670,
39,19857,9765,10092,14182,6710,7472,5675,3055,2620,
40,19902,9755,10147,14410,6852,7558,5492,2903,2589,
41,18517,9096,9421,13328,6360,6968,5189,2736,2453,
42,18416,8948,9468,13303,6301,7002,5113,2647,2466,
43,19974,9826,10148,14611,7023,7588,5363,2803,2560,
44,18155,8594,9561,12863,5982,6881,5292,2612,2680,
45,18313,8612,9701,12965,5969,6996,5348,2643,2705,
46,17166,7986,9180,11879,5374,6505,5287,2612,2675,
47,18432,8681,9751,12854,5896,6958,5578,2785,2793,
48,17873,8449,9424,12489,5851,6638,5384,2598,2786,
49,16842,8005,8837,11464,5347,6117,5378,2658,2720,
50,16411,7755,8656,11274,5210,6064,5137,2545,2592,
51,16816,7888,8928,11260,5196,6064,5556,2692,2864,
52,16629,7710,8919,11215,5045,6170,5414,2665,2749,
53,16838,7852,8986,11382,5210,6172,5456,2642,2814,
54,15838,7334,8504,10376,4668,5708,5462,2666,2796,
55,15411,7056,8355,9977,4369,5608,5434,2687,2747,
56,15778,7216,8562,10131,4530,5601,5647,2686,2961,
57,16210,7323,8887,10416,4490,5926,5794,2833,2961,
58,17470,7801,9669,11295,4869,6426,6175,2932,3243,
59,17189,7649,9540,11013,4735,6278,6176,2914,3262,
60,18589,8090,10499,11862,4894,6968,6727,3196,3531,
61,18840,8133,10707,11932,4913,7019,6908,3220,3688,
62,19379,8378,11001,12427,5126,7301,6952,3252,3700,
63,21172,9085,12087,13648,5547,8101,7524,3538,3986,
64,20343,8558,11785,13193,5305,7888,7150,3253,3897,
65,19546,8118,11428,12758,5049,7709,6788,3069,3719,
66,18355,7377,10978,11776,4479,7297,6579,2898,3681,
67,18495,7248,11247,12385,4675,7710,6110,2573,3537,
68,18076,7172,10904,12005,4590,7415,6071,2582,3489,
