0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Ивановская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,905900,406392,499508,743923,328261,415662,161977,78131,83846,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,6542,3309,3233,5600,2830,2770,942,479,463,
1,6859,3573,3286,5905,3092,2813,954,481,473,
2,6795,3547,3248,5880,3116,2764,915,431,484,
3,6902,3652,3250,5940,3147,2793,962,505,457,
4,7351,3847,3504,6281,3275,3006,1070,572,498,
5,8300,4259,4041,7066,3624,3442,1234,635,599,
6,9094,4869,4225,7729,4187,3542,1365,682,683,
7,10162,5353,4809,8643,4562,4081,1519,791,728,
8,10490,5413,5077,8951,4610,4341,1539,803,736,
9,10445,5372,5073,8713,4472,4241,1732,900,832,
10,10703,5436,5267,8993,4568,4425,1710,868,842,
11,10511,5458,5053,8723,4530,4193,1788,928,860,
12,9942,5197,4745,8244,4349,3895,1698,848,850,
13,9998,5048,4950,8312,4183,4129,1686,865,821,
14,10194,5336,4858,8501,4471,4030,1693,865,828,
15,10077,5103,4974,8419,4286,4133,1658,817,841,
16,9565,4896,4669,8011,4132,3879,1554,764,790,
17,8892,4571,4321,7515,3900,3615,1377,671,706,
18,8864,4669,4195,7648,4048,3600,1216,621,595,
19,9117,5004,4113,7840,4362,3478,1277,642,635,
20,9779,5221,4558,8394,4499,3895,1385,722,663,
21,9402,4939,4463,8117,4282,3835,1285,657,628,
22,9069,4847,4222,7867,4230,3637,1202,617,585,
23,9060,4716,4344,7680,3970,3710,1380,746,634,
24,7535,3909,3626,6383,3264,3119,1152,645,507,
25,7375,3854,3521,6118,3144,2974,1257,710,547,
26,6755,3550,3205,5612,2855,2757,1143,695,448,
27,7615,3889,3726,6353,3191,3162,1262,698,564,
28,7793,4014,3779,6453,3271,3182,1340,743,597,
29,7637,3959,3678,6358,3267,3091,1279,692,587,
30,8399,4231,4168,6921,3386,3535,1478,845,633,
31,10235,5014,5221,8678,4165,4513,1557,849,708,
32,10936,5523,5413,9101,4490,4611,1835,1033,802,
33,12881,6513,6368,10820,5348,5472,2061,1165,896,
34,13489,6736,6753,11225,5471,5754,2264,1265,999,
35,13985,6975,7010,11496,5595,5901,2489,1380,1109,
36,14964,7515,7449,12406,6031,6375,2558,1484,1074,
37,15182,7643,7539,12623,6210,6413,2559,1433,1126,
38,15620,7647,7973,13041,6188,6853,2579,1459,1120,
39,14349,7110,7239,11736,5632,6104,2613,1478,1135,
40,15162,7371,7791,12483,5929,6554,2679,1442,1237,
41,13846,6792,7054,11444,5426,6018,2402,1366,1036,
42,13592,6603,6989,11257,5332,5925,2335,1271,1064,
43,14468,7082,7386,11925,5715,6210,2543,1367,1176,
44,13540,6444,7096,11177,5150,6027,2363,1294,1069,
45,13748,6602,7146,11366,5322,6044,2382,1280,1102,
46,12938,5999,6939,10632,4778,5854,2306,1221,1085,
47,13654,6455,7199,11339,5187,6152,2315,1268,1047,
48,14404,6809,7595,11932,5478,6454,2472,1331,1141,
49,13542,6301,7241,11083,5006,6077,2459,1295,1164,
50,12569,5834,6735,10249,4652,5597,2320,1182,1138,
51,13069,6014,7055,10715,4811,5904,2354,1203,1151,
52,12824,5922,6902,10468,4688,5780,2356,1234,1122,
53,12867,5936,6931,10512,4750,5762,2355,1186,1169,
54,12180,5441,6739,9824,4257,5567,2356,1184,1172,
55,11743,5191,6552,9514,4139,5375,2229,1052,1177,
56,11333,5009,6324,8950,3852,5098,2383,1157,1226,
57,12033,5251,6782,9616,4110,5506,2417,1141,1276,
58,12709,5644,7065,10158,4398,5760,2551,1246,1305,
59,12324,5350,6974,9661,4108,5553,2663,1242,1421,
60,13252,5585,7667,10362,4288,6074,2890,1297,1593,
61,13745,5775,7970,10689,4397,6292,3056,1378,1678,
62,14121,5786,8335,10970,4339,6631,3151,1447,1704,
63,14163,5727,8436,10977,4296,6681,3186,1431,1755,
64,13655,5304,8351,10569,3882,6687,3086,1422,1664,
65,13570,5227,8343,10585,3938,6647,2985,1289,1696,
66,13266,4947,8319,10363,3699,6664,2903,1248,1655,
67,12447,4349,8098,9718,3215,6503,2729,1134,1595,
68,13027,4548,8479,10252,3350,6902,2775,1198,1577,
69,13165,4448,8717,10398,3377,7021,2767,1071,1696,
70,11233,3597,7636,8937,2677,6260,2296,920,1376,
71,11001,3586,7415,8917,2787,6130,2084,799,1285,
72,10605,3271,7334,8588,2532,6056,2017,739,1278,
73,10208,3131,7077,8241,2393,5848,1967,738,1229,
74,10036,3075,6961,8170,2383,5787,1866,692,1174,
75,7739,2240,5499,6403,1774,4629,1336,466,870,
76,7162,2077,5085,5973,1718,4255,1189,359,830,
77,6227,1657,4570,5218,1347,3871,1009,310,699,
78,3336,847,2489,2751,659,2092,585,188,397,
79,2443,606,1837,2019,492,1527,424,114,310,
80,1634,416,1218,1289,318,971,345,98,247,
81,2744,568,2176,2223,442,1781,521,126,395,
82,5111,1039,4072,4168,836,3332,943,203,740,
83,4707,969,3738,3840,763,3077,867,206,661,
84,4480,841,3639,3665,656,3009,815,185,630,
85,3940,647,3293,3231,509,2722,709,138,571,
86,3402,681,2721,2776,548,2228,626,133,493,
87,2368,431,1937,1967,357,1610,401,74,327,
88,1828,330,1498,1449,244,1205,379,86,293,
89,1477,232,1245,1184,183,1001,293,49,244,
90,1000,169,831,788,132,656,212,37,175,
91,1042,149,893,818,114,704,224,35,189,
92,711,100,611,559,79,480,152,21,131,
93,582,79,503,455,60,395,127,19,108,
94,309,48,261,244,38,206,65,10,55,
95,269,45,224,190,34,156,79,11,68,
96,191,39,152,146,34,112,45,5,40,
97,113,17,96,91,14,77,22,3,19,
98,86,17,69,66,15,51,20,2,18,
99,40,9,31,33,8,25,7,1,6,
100 и более,57,16,41,40,13,27,17,3,14,
моложе трудоспособного,144365,74772,69593,121900,63302,58598,22465,11470,10995,
трудоспособного,514150,266141,248009,424412,215043,209369,89738,51098,38640,
старше трудоспособного,247385,65479,181906,197611,49916,147695,49774,15563,34211,
