0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Республика Башкортостан,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,4064361,1920890,2143471,2544428,1177611,1366817,1519933,743279,776654,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,35317,18092,17225,21545,11065,10480,13772,7027,6745,
1,36083,18581,17502,22167,11409,10758,13916,7172,6744,
2,39342,20175,19167,24314,12391,11923,15028,7784,7244,
3,40893,21066,19827,25339,13058,12281,15554,8008,7546,
4,41489,21361,20128,25905,13195,12710,15584,8166,7418,
5,46553,24015,22538,29459,15137,14322,17094,8878,8216,
6,48622,25144,23478,31300,16120,15180,17322,9024,8298,
7,56177,29006,27171,38566,19881,18685,17611,9125,8486,
8,59360,30563,28797,39619,20438,19181,19741,10125,9616,
9,59706,30526,29180,39143,20062,19081,20563,10464,10099,
10,58965,30308,28657,38133,19529,18604,20832,10779,10053,
11,58853,30275,28578,37638,19358,18280,21215,10917,10298,
12,55375,28463,26912,35115,18069,17046,20260,10394,9866,
13,54206,27792,26414,32399,16658,15741,21807,11134,10673,
14,51213,26544,24669,29828,15590,14238,21385,10954,10431,
15,53560,27223,26337,32118,16391,15727,21442,10832,10610,
16,50508,25903,24605,32733,16783,15950,17775,9120,8655,
17,43197,22402,20795,29131,14941,14190,14066,7461,6605,
18,43657,22041,21616,31562,15844,15718,12095,6197,5898,
19,43082,21124,21958,28640,13775,14865,14442,7349,7093,
20,44262,21985,22277,28321,13696,14625,15941,8289,7652,
21,44706,22907,21799,28062,14157,13905,16644,8750,7894,
22,39571,19632,19939,23743,11421,12322,15828,8211,7617,
23,41884,21668,20216,26122,13244,12878,15762,8424,7338,
24,38676,19578,19098,24105,11759,12346,14571,7819,6752,
25,40622,21215,19407,25691,12883,12808,14931,8332,6599,
26,39396,20826,18570,25364,12941,12423,14032,7885,6147,
27,41496,21287,20209,27239,13489,13750,14257,7798,6459,
28,43053,21878,21175,29089,14283,14806,13964,7595,6369,
