0,1,2,3,4,5,6,7,8,9,10
"1.10. ДЕМОГРАФИЧЕСКАЯ НАГРУЗКА НА НАСЕЛЕНИЕ ТРУДОСПОСОБНОГО ВОЗРАСТА
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ
на 1 января 2024 г.",,,,,,,,,,Содержание
(на 1000 лиц трудоспособного возраста приходится нетрудоспособных),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,всего,в том числе:,,всего,в том числе:,,всего,в том числе:,,
,,"моложе
трудосп.","старше
трудосп.",,"моложе
трудосп.","старше
трудосп.",,"моложе
трудосп.","старше
трудосп.",
Российская Федерация,725,317,408,709,310,399,776,339,437,
Центральный федеральный округ,729,286,443,725,291,434,746,261,485,
Белгородская область,739,285,454,707,287,420,804,281,523,
Брянская область,745,292,453,759,300,459,712,273,439,
Владимирская область,764,282,482,756,291,465,792,249,543,
Воронежская область,741,277,464,717,281,436,795,268,527,
Ивановская область,762,281,481,753,287,466,805,250,555,
Калужская область,726,289,437,730,295,435,714,272,442,
Костромская область,854,340,514,813,341,472,983,334,649,
Курская область,774,298,476,754,303,451,818,285,533,
Липецкая область,748,291,457,730,296,434,780,283,497,
Московская область,678,310,368,691,332,359,634,233,401,
Орловская область,766,284,482,735,267,468,830,318,512,
Рязанская область,768,275,493,750,278,472,813,267,546,
Смоленская область,747,271,476,741,275,466,766,262,504,
Тамбовская область,761,247,514,743,249,494,790,245,545,
Тверская область,778,291,487,770,298,472,808,270,538,
Тульская область,753,254,499,754,255,499,748,249,499,
Ярославская область,774,311,463,757,314,443,845,294,551,
г. Москва,725,274,451,725,274,451,–,–,–,
Северо-Западный федеральный округ,694,275,419,683,274,409,762,282,480,
Республика Карелия,788,305,483,764,311,453,893,279,614,
Республика Коми,710,317,393,678,311,367,835,340,495,
Архангельская область,771,315,456,726,313,413,954,325,629,
Ненецкий автономный округ,661,365,296,632,360,272,757,382,375,
Архангельская область без автономии,777,313,464,731,311,420,966,322,644,
Вологодская область,778,336,442,749,345,404,859,310,549,
Калининградская область,689,295,394,701,293,408,651,299,352,
Ленинградская область,632,229,403,621,224,397,656,240,416,
Мурманская область,649,309,340,656,309,347,557,311,246,
Новгородская область,792,312,480,774,322,452,844,282,562,
Псковская область,785,290,495,766,298,468,831,270,561,
 г. Санкт-Петербург,668,254,414,668,254,414,–,–,–,
Южный федеральный округ,726,310,416,709,305,404,755,317,438,
Республика Адыгея,724,339,385,709,336,373,737,341,396,
Республика Калмыкия,725,357,368,773,396,377,685,325,360,
Республика Крым,769,326,443,759,317,442,779,335,444,
Краснодарский край,743,329,414,727,339,388,763,314,449,
Астраханская область,744,366,378,740,359,381,750,377,373,
Волгоградская область,691,269,422,674,261,413,757,299,458,
Ростовская область,711,286,425,696,279,417,742,301,441,
г. Севастополь,644,273,371,649,276,373,582,232,350,
Северо-Кавказский федеральный округ,663,387,276,626,351,275,702,426,276,
Республика Дагестан,621,401,220,536,342,194,699,455,244,
Республика Ингушетия,578,429,149,557,413,144,605,449,156,
Кабардино-Балкарская Республика,671,363,308,670,332,338,671,395,276,
Карачаево-Черкесская Республика,682,345,337,674,330,344,687,355,332,
Республика Северная Осетия – Алания,704,335,369,705,325,380,702,351,351,
Чеченская Республика,717,547,170,727,580,147,710,525,185,
Ставропольский край,684,305,379,649,284,365,739,338,401,
Приволжский федеральный округ,757,320,437,734,318,416,818,324,494,
Республика Башкортостан,742,341,401,703,336,367,813,350,463,
Республика Марий Эл,780,342,438,771,354,417,801,315,486,
Республика Мордовия,727,246,481,706,263,443,764,215,549,
Республика Татарстан,743,336,407,735,346,389,771,302,469,
Удмуртская Республика,777,357,420,726,332,394,882,407,475,
Чувашская Республика,774,342,432,747,365,382,825,298,527,
Пермский край,767,354,413,746,343,403,833,388,445,
Кировская область,839,312,527,792,318,474,1036,286,750,
Нижегородская область,765,305,460,754,310,444,808,283,525,
Оренбургская область,770,339,431,707,307,400,871,391,480,
Пензенская область,767,275,492,752,277,475,802,270,532,
Самарская область,740,300,440,732,298,434,773,307,466,
Саратовская область,720,273,447,706,270,436,770,284,486,
Ульяновская область,794,302,492,772,311,461,876,272,604,
Уральский федеральный округ,737,353,384,713,346,367,859,390,469,
Курганская область,905,372,533,837,359,478,1043,398,645,
Свердловская область,758,345,413,736,339,397,905,385,520,
Тюменская область,670,369,301,651,364,287,759,393,366,
Ханты-Мансийский авт. округ – Югра,623,363,260,623,364,259,610,346,264,
Ямало-Ненецкий авт. округ,555,359,196,533,334,199,699,520,179,
Тюменская область без автономий,769,381,388,749,378,371,810,386,424,
Челябинская область,757,340,417,736,331,405,869,389,480,
Сибирский федеральный округ,743,348,395,710,330,380,852,408,444,
Республика Алтай,778,472,306,649,378,271,841,518,323,
Республика Тыва,756,578,178,706,538,168,825,633,192,
Республика Хакасия,756,372,384,744,362,382,782,393,389,
Алтайский край,793,346,447,720,320,400,908,386,522,
Красноярский край,704,338,366,663,319,344,885,421,464,
Иркутская область,752,379,373,742,364,378,786,432,354,
Кемеровская область – Кузбасс,737,322,415,726,319,407,812,339,473,
Новосибирская область,736,333,403,707,321,386,861,384,477,
Омская область,778,346,432,746,325,421,874,410,464,
Томская область,692,313,379,648,293,355,816,370,446,
Дальневосточный федеральный округ,677,338,339,653,322,331,750,385,365,
Республика Бурятия,732,406,326,692,376,316,793,452,341,
Республика Саха (Якутия),646,387,259,584,350,234,792,474,318,
Забайкальский край,678,363,315,645,346,299,761,405,356,
Камчатский край,625,316,309,610,316,294,681,313,368,
Приморский край,678,293,385,661,289,372,739,308,431,
Хабаровский край,676,315,361,678,312,366,671,334,337,
Амурская область,679,333,346,649,320,329,749,364,385,
Магаданская область,595,291,304,588,289,299,803,341,462,
Сахалинская область,688,304,384,678,306,372,734,292,442,
Еврейская автономная область,708,339,369,719,334,385,681,351,330,
Чукотский автономный округ,540,339,201,509,308,201,612,412,200,
