0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Тульская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,1471140,665771,805369,1074386,477720,596666,396754,188051,208703,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,9421,4831,4590,6973,3568,3405,2448,1263,1185,
1,9477,4850,4627,6956,3579,3377,2521,1271,1250,
2,10122,5219,4903,7550,3908,3642,2572,1311,1261,
3,10775,5584,5191,8128,4212,3916,2647,1372,1275,
4,11504,5886,5618,8476,4380,4096,3028,1506,1522,
5,12580,6463,6117,9244,4773,4471,3336,1690,1646,
6,13591,6910,6681,10138,5154,4984,3453,1756,1697,
7,15670,8087,7583,11769,6039,5730,3901,2048,1853,
8,16336,8330,8006,12256,6276,5980,4080,2054,2026,
9,14995,7666,7329,10869,5544,5325,4126,2122,2004,
10,14922,7520,7402,10701,5325,5376,4221,2195,2026,
11,15314,7846,7468,10968,5645,5323,4346,2201,2145,
12,14484,7348,7136,10461,5317,5144,4023,2031,1992,
13,14210,7420,6790,10159,5312,4847,4051,2108,1943,
14,14880,7772,7108,10957,5767,5190,3923,2005,1918,
15,14514,7398,7116,10658,5447,5211,3856,1951,1905,
16,13474,6958,6516,9906,5085,4821,3568,1873,1695,
17,12711,6501,6210,9472,4884,4588,3239,1617,1622,
18,12257,6264,5993,9066,4649,4417,3191,1615,1576,
19,12954,6704,6250,9716,5072,4644,3238,1632,1606,
20,12840,6477,6363,9294,4634,4660,3546,1843,1703,
21,12612,6254,6358,9402,4646,4756,3210,1608,1602,
22,12427,6301,6126,9117,4614,4503,3310,1687,1623,
23,12608,6548,6060,9171,4719,4452,3437,1829,1608,
24,11964,6110,5854,8590,4354,4236,3374,1756,1618,
25,12743,6581,6162,9114,4632,4482,3629,1949,1680,
26,12084,6173,5911,8709,4407,4302,3375,1766,1609,
27,13127,6673,6454,9554,4792,4762,3573,1881,1692,
28,14422,7368,7054,10602,5347,5255,3820,2021,1799,
29,14505,7484,7021,10614,5453,5161,3891,2031,1860,
30,15003,7644,7359,11042,5532,5510,3961,2112,1849,
31,16228,8311,7917,11877,6008,5869,4351,2303,2048,
32,18439,9595,8844,13493,6912,6581,4946,2683,2263,
33,21485,10922,10563,15972,8072,7900,5513,2850,2663,
34,23047,11570,11477,17025,8445,8580,6022,3125,2897,
35,23902,12043,11859,17491,8735,8756,6411,3308,3103,
36,25913,12893,13020,19092,9428,9664,6821,3465,3356,
37,25463,13047,12416,18672,9476,9196,6791,3571,3220,
38,24796,12585,12211,18084,9066,9018,6712,3519,3193,
39,24552,12163,12389,17922,8743,9179,6630,3420,3210,
40,25086,12353,12733,18322,8901,9421,6764,3452,3312,
41,23583,11514,12069,17238,8296,8942,6345,3218,3127,
42,23138,11317,11821,17074,8130,8944,6064,3187,2877,
43,24307,11924,12383,17856,8591,9265,6451,3333,3118,
44,22890,10928,11962,16816,7808,9008,6074,3120,2954,
45,22781,11124,11657,16648,7902,8746,6133,3222,2911,
46,22376,10702,11674,16461,7751,8710,5915,2951,2964,
47,22846,10964,11882,16718,7863,8855,6128,3101,3027,
48,23196,11074,12122,17002,7973,9029,6194,3101,3093,
49,22801,10734,12067,16834,7794,9040,5967,2940,3027,
50,21773,10332,11441,16282,7560,8722,5491,2772,2719,
51,22201,10483,11718,16326,7611,8715,5875,2872,3003,
52,21515,10203,11312,15767,7309,8458,5748,2894,2854,
53,21979,10371,11608,16155,7463,8692,5824,2908,2916,
54,19359,9020,10339,14003,6336,7667,5356,2684,2672,
55,19106,8724,10382,13552,6001,7551,5554,2723,2831,
56,17925,8136,9789,12704,5643,7061,5221,2493,2728,
57,18579,8434,10145,13226,5843,7383,5353,2591,2762,
58,19355,8564,10791,13643,5916,7727,5712,2648,3064,
59,18935,8341,10594,13478,5765,7713,5457,2576,2881,
60,21157,9128,12029,14901,6204,8697,6256,2924,3332,
61,21266,8922,12344,15069,6090,8979,6197,2832,3365,
62,22363,9386,12977,15751,6426,9325,6612,2960,3652,
63,24249,10189,14060,17027,6902,10125,7222,3287,3935,
64,23202,9317,13885,16163,6211,9952,7039,3106,3933,
65,23389,9158,14231,16289,6130,10159,7100,3028,4072,
66,23248,8943,14305,16377,5991,10386,6871,2952,3919,
67,22370,8450,13920,15732,5643,10089,6638,2807,3831,
68,21436,8099,13337,15522,5609,9913,5914,2490,3424,
69,20955,7795,13160,15151,5417,9734,5804,2378,3426,
70,18424,6535,11889,13490,4595,8895,4934,1940,2994,
71,18954,6645,12309,13873,4677,9196,5081,1968,3113,
72,17627,5922,11705,13197,4286,8911,4430,1636,2794,
73,17180,5727,11453,12806,4106,8700,4374,1621,2753,
74,17724,5738,11986,13317,4137,9180,4407,1601,2806,
75,14322,4504,9818,10847,3274,7573,3475,1230,2245,
