0,1,2,3,4,5,6,7,8,9,10,11,12,13
"1.9. ОБЩАЯ ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ОСНОВНЫМ ВОЗРАСТНЫМ ГРУППАМ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ
в среднем за 2023 г. ",,,,,,,,,,,,,Содержание
(человек),,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Общая
численность
населения",,,в том числе в возрасте:,,,,,,,,,
,,,,"моложе
трудоспособного",,,в трудоспособном,,,"старше
трудоспособного",,,
,"всё
население","городское
население","сельское
население","всё
население","городское
население","сельское
население","всё
население","городское
население","сельское
население","всё
население","городское
население","сельское
население",
Нижегородская область,3071076,2457534,613542,532799,436085,96714,1745591,1404694,340897,792686,616755,175931,
Оренбургская область,1835017,1099472,735545,353508,198498,155010,1040629,645722,394907,440880,255252,185628,
Пензенская область,1241361,854453,386908,194447,135939,58508,705111,489378,215733,341803,229136,112667,
Самарская область,3135262,2491026,644236,543264,431145,112119,1806667,1441988,364679,785331,617893,167438,
Саратовская область,2395054,1841479,553575,383164,292894,90270,1396123,1082363,313760,615767,466222,149545,
Ульяновская область,1176894,906970,269924,198842,159261,39581,659636,514904,144732,318416,232805,85611,
Уральский федеральный округ,12260711,10065960,2194751,2503225,2038365,464860,7076179,5892529,1183650,2681307,2135066,546241,
Курганская область,757294,486915,270379,148959,95611,53348,398426,265563,132863,209909,125741,84168,
Свердловская область,4230928,3632731,598197,832735,710594,122141,2412043,2097521,314522,986150,824616,161534,
Тюменская область,3871017,3138432,732585,859602,694519,165083,2326700,1909005,417695,684715,534908,149807,
Ханты-Мансийский авт. округ – Югра,1744869,1610171,134698,392074,362787,29287,1079792,995885,83907,273003,251499,21504,
Ямало-Ненецкий авт. округ,514174,436790,77384,118983,95179,23804,332276,286643,45633,62915,54968,7947,
Тюменская область без автономий,1611974,1091471,520503,348553,236554,111999,914628,626478,288150,348793,228439,120354,
Челябинская область,3401472,2807882,593590,661933,537638,124295,1939025,1620443,318582,800514,649801,150713,
Сибирский федеральный округ,16606473,12465990,4140483,3338778,2418057,920721,9542003,7302938,2239065,3725692,2744995,980697,
Республика Алтай,210767,64733,146034,56565,14988,41577,118372,39220,79152,35830,10525,25305,
Республика Тыва,337408,187344,150064,112133,59551,52582,191775,109705,82070,33500,18088,15412,
Республика Хакасия,529204,363959,165245,113733,76705,37028,300857,208221,92636,114614,79033,35581,
Алтайский край,2123129,1239926,883203,412908,232137,180771,1185372,721666,463706,524849,286123,238726,
Красноярский край,2845832,2267480,578352,566159,436134,130025,1673370,1365994,307376,606303,465352,140951,
Иркутская область,2337448,1810624,526824,509003,380610,128393,1335454,1040194,295260,492991,389820,103171,
Кемеровская область – Кузбасс,2557961,2213582,344379,479318,413844,65474,1473316,1282814,190502,605327,516924,88403,
Новосибирская область,2791899,2226610,565289,536086,418940,117146,1613123,1308045,305078,642690,499625,143065,
Омская область,1825079,1345506,479573,357201,251358,105843,1029990,773196,256794,437888,320952,116936,
Томская область,1047746,746226,301520,195707,133807,61900,620385,453892,166493,231654,158527,73127,
Дальневосточный федеральный округ,7885104,5816043,2069061,1595366,1136875,458491,4710878,3526228,1184650,1578860,1152940,425920,
Республика Бурятия,973275,575253,398022,230189,129230,100959,562014,339796,222218,181072,106227,74845,
Республика Саха (Якутия),999614,673642,325972,237205,150047,87158,607693,425414,182279,154716,98181,56535,
Забайкальский край,988412,688544,299868,215313,145855,69458,589142,418505,170637,183957,124184,59773,
Камчатский край,288839,225516,63323,56262,44358,11904,178217,140424,37793,54360,40734,13626,
Приморский край,1813234,1421993,391241,317880,248401,69479,1083668,857832,225836,411686,315760,95926,
Хабаровский край,1281111,1069759,211352,241290,198743,42547,766402,639779,126623,273419,231237,42182,
Амурская область,753140,515504,237636,150369,100503,49866,448945,312925,136020,153826,102076,51750,
Магаданская область,133851,129146,4705,24489,23592,897,84168,81570,2598,25194,23984,1210,
Сахалинская область,459063,379642,79421,82439,68980,13459,273419,227466,45953,103205,83196,20009,
Еврейская автономная область,146630,103861,42769,29388,20386,9002,85937,60434,25503,31305,23041,8264,
Чукотский автономный округ,47935,33183,14752,10580,6798,3782,31281,22091,9190,6074,4294,1780,
