0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Омская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,1818093,837924,980169,1341849,607386,734463,476244,230538,245706,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,15078,7806,7272,10803,5577,5226,4275,2229,2046,
1,15957,8222,7735,11556,5930,5626,4401,2292,2109,
2,16904,8783,8121,12134,6260,5874,4770,2523,2247,
3,17315,8798,8517,12525,6362,6163,4790,2436,2354,
4,18348,9388,8960,13248,6795,6453,5100,2593,2507,
5,20409,10591,9818,14803,7683,7120,5606,2908,2698,
6,21532,10961,10571,15720,8034,7686,5812,2927,2885,
7,24852,12739,12113,18350,9348,9002,6502,3391,3111,
8,26795,13739,13056,19358,9988,9370,7437,3751,3686,
9,27924,14223,13701,19263,9750,9513,8661,4473,4188,
10,27165,13872,13293,18592,9551,9041,8573,4321,4252,
11,27547,14109,13438,18658,9616,9042,8889,4493,4396,
12,24977,12922,12055,16876,8714,8162,8101,4208,3893,
13,23496,12207,11289,16470,8559,7911,7026,3648,3378,
14,22902,11723,11179,15999,8158,7841,6903,3565,3338,
15,22503,11626,10877,15197,7757,7440,7306,3869,3437,
16,21278,11015,10263,14751,7574,7177,6527,3441,3086,
17,19161,9878,9283,13486,6930,6556,5675,2948,2727,
18,18981,9571,9410,13755,7007,6748,5226,2564,2662,
19,18817,9498,9319,13682,6987,6695,5135,2511,2624,
20,19782,10316,9466,14523,7496,7027,5259,2820,2439,
21,18133,9479,8654,13385,6963,6422,4748,2516,2232,
22,16377,8596,7781,12436,6508,5928,3941,2088,1853,
23,16154,8030,8124,12157,5977,6180,3997,2053,1944,
24,14618,7494,7124,11012,5595,5417,3606,1899,1707,
25,15625,8052,7573,11672,5841,5831,3953,2211,1742,
26,15008,7600,7408,11279,5526,5753,3729,2074,1655,
27,16680,8495,8185,12745,6391,6354,3935,2104,1831,
28,17568,9033,8535,13426,6776,6650,4142,2257,1885,
29,17201,8893,8308,13053,6624,6429,4148,2269,1879,
30,17600,8853,8747,13377,6581,6796,4223,2272,1951,
31,19423,9723,9700,15045,7220,7825,4378,2503,1875,
32,21608,10709,10899,17267,8398,8869,4341,2311,2030,
33,26121,13056,13065,21036,10283,10753,5085,2773,2312,
34,26989,13228,13761,21654,10435,11219,5335,2793,2542,
35,28198,13890,14308,22112,10612,11500,6086,3278,2808,
36,30092,14878,15214,23452,11311,12141,6640,3567,3073,
37,32482,16143,16339,25468,12454,13014,7014,3689,3325,
38,32097,15836,16261,25300,12312,12988,6797,3524,3273,
39,30945,15057,15888,24191,11633,12558,6754,3424,3330,
40,31415,15091,16324,24447,11559,12888,6968,3532,3436,
41,30960,14594,16366,23896,11066,12830,7064,3528,3536,
42,28638,13699,14939,21740,10334,11406,6898,3365,3533,
