0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Мурманская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,656438,309294,347144,610635,284732,325903,45803,24562,21241,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,5471,2838,2633,5092,2651,2441,379,187,192,
1,5764,2937,2827,5280,2684,2596,484,253,231,
2,6211,3162,3049,5697,2897,2800,514,265,249,
3,6616,3380,3236,6096,3104,2992,520,276,244,
4,6822,3471,3351,6242,3161,3081,580,310,270,
5,7401,3852,3549,6815,3548,3267,586,304,282,
6,7715,3990,3725,7116,3666,3450,599,324,275,
7,8480,4450,4030,7864,4132,3732,616,318,298,
8,8751,4575,4176,8124,4258,3866,627,317,310,
9,8875,4525,4350,8205,4180,4025,670,345,325,
10,8729,4439,4290,8135,4128,4007,594,311,283,
11,8944,4566,4378,8292,4262,4030,652,304,348,
12,8527,4408,4119,7919,4093,3826,608,315,293,
13,8591,4439,4152,7991,4125,3866,600,314,286,
14,8134,4190,3944,7554,3881,3673,580,309,271,
15,8161,4198,3963,7625,3933,3692,536,265,271,
16,7796,4063,3733,7307,3828,3479,489,235,254,
17,7173,3744,3429,6755,3534,3221,418,210,208,
18,6580,3684,2896,6054,3318,2736,526,366,160,
19,7695,4695,3000,6832,4008,2824,863,687,176,
20,7372,4480,2892,6250,3535,2715,1122,945,177,
21,6625,3857,2768,5579,2989,2590,1046,868,178,
22,6246,3579,2667,5466,2996,2470,780,583,197,
23,6519,3699,2820,5785,3164,2621,734,535,199,
24,6142,3392,2750,5448,2911,2537,694,481,213,
25,6179,3272,2907,5582,2925,2657,597,347,250,
26,6016,3198,2818,5425,2842,2583,591,356,235,
27,6791,3699,3092,6038,3223,2815,753,476,277,
28,6829,3752,3077,6152,3330,2822,677,422,255,
29,7034,3786,3248,6371,3376,2995,663,410,253,
30,6740,3566,3174,6156,3233,2923,584,333,251,
31,7771,4053,3718,7103,3696,3407,668,357,311,
32,8818,4522,4296,8126,4148,3978,692,374,318,
33,9924,5095,4829,9105,4623,4482,819,472,347,
34,10924,5633,5291,10076,5177,4899,848,456,392,
35,12047,6157,5890,11164,5697,5467,883,460,423,
36,12558,6394,6164,11646,5887,5759,912,507,405,
37,12823,6716,6107,11924,6223,5701,899,493,406,
38,12395,6382,6013,11515,5891,5624,880,491,389,
39,12097,6086,6011,11262,5630,5632,835,456,379,
40,12221,6154,6067,11391,5709,5682,830,445,385,
41,11469,5670,5799,10765,5322,5443,704,348,356,
42,10767,5296,5471,10039,4921,5118,728,375,353,
43,11290,5398,5892,10573,5002,5571,717,396,321,
44,10844,5401,5443,10129,4995,5134,715,406,309,
45,10970,5256,5714,10291,4891,5400,679,365,314,
46,10566,5140,5426,9960,4826,5134,606,314,292,
47,10597,5070,5527,9976,4738,5238,621,332,289,
48,10364,4904,5460,9798,4608,5190,566,296,270,
49,10232,4884,5348,9630,4568,5062,602,316,286,
50,9825,4750,5075,9295,4449,4846,530,301,229,
51,9740,4558,5182,9201,4292,4909,539,266,273,
52,9157,4331,4826,8648,4081,4567,509,250,259,
53,8941,4281,4660,8507,4067,4440,434,214,220,
54,8372,3983,4389,7943,3749,4194,429,234,195,
55,7987,3858,4129,7582,3653,3929,405,205,200,
56,7644,3585,4059,7225,3373,3852,419,212,207,
57,7830,3624,4206,7435,3452,3983,395,172,223,
58,7896,3615,4281,7489,3431,4058,407,184,223,
59,8042,3651,4391,7606,3458,4148,436,193,243,
60,8240,3621,4619,7750,3395,4355,490,226,264,
61,8377,3614,4763,7924,3419,4505,453,195,258,
62,8759,3653,5106,8254,3430,4824,505,223,282,
63,8911,3694,5217,8348,3444,4904,563,250,313,
64,8370,3314,5056,7880,3111,4769,490,203,287,
65,7876,2999,4877,7401,2817,4584,475,182,293,
66,7458,2689,4769,7041,2527,4514,417,162,255,
67,7136,2518,4618,6749,2345,4404,387,173,214,
68,7182,2344,4838,6785,2197,4588,397,147,250,
69,6999,2283,4716,6586,2135,4451,413,148,265,
