0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Московская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,8651260,4109907,4541353,6746477,3183879,3562598,1904783,926028,978755,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,74147,38176,35971,64538,33207,31331,9609,4969,4640,
1,76915,39567,37348,65502,33732,31770,11413,5835,5578,
2,84820,44142,40678,70897,36921,33976,13923,7221,6702,
3,93403,48898,44505,80271,41970,38301,13132,6928,6204,
4,90495,47313,43182,75761,39619,36142,14734,7694,7040,
5,102748,53881,48867,85985,45029,40956,16763,8852,7911,
6,109543,57451,52092,92149,48210,43939,17394,9241,8153,
7,122564,64173,58391,103346,54095,49251,19218,10078,9140,
8,122151,63785,58366,101081,52837,48244,21070,10948,10122,
9,115075,60484,54591,95116,49964,45152,19959,10520,9439,
10,111279,57891,53388,91294,47565,43729,19985,10326,9659,
11,110232,58265,51967,90781,48141,42640,19451,10124,9327,
12,102138,53898,48240,84272,44442,39830,17866,9456,8410,
13,99314,52204,47110,78528,41371,37157,20786,10833,9953,
14,92874,48773,44101,73741,38850,34891,19133,9923,9210,
15,90701,47376,43325,73176,38071,35105,17525,9305,8220,
16,83447,43615,39832,66881,35035,31846,16566,8580,7986,
17,79358,41618,37740,63214,33038,30176,16144,8580,7564,
18,82342,44556,37786,64489,34350,30139,17853,10206,7647,
19,79332,44046,35286,61778,33233,28545,17554,10813,6741,
20,80674,43398,37276,63663,33931,29732,17011,9467,7544,
21,81891,45258,36633,65760,36350,29410,16131,8908,7223,
22,79061,42788,36273,60784,32378,28406,18277,10410,7867,
23,91009,47714,43295,68434,35790,32644,22575,11924,10651,
24,83287,42617,40670,63223,32366,30857,20064,10251,9813,
25,78332,39319,39013,60441,30332,30109,17891,8987,8904,
26,78680,39918,38762,62349,31527,30822,16331,8391,7940,
27,94221,48407,45814,74464,38156,36308,19757,10251,9506,
28,103733,52387,51346,81801,41351,40450,21932,11036,10896,
29,88623,44007,44616,70237,34696,35541,18386,9311,9075,
30,93869,46655,47214,74292,36967,37325,19577,9688,9889,
31,103641,50584,53057,81740,39892,41848,21901,10692,11209,
32,115157,56881,58276,91061,45065,45996,24096,11816,12280,
33,157505,79335,78170,123344,62317,61027,34161,17018,17143,
34,158927,77734,81193,124516,61050,63466,34411,16684,17727,
35,155769,75121,80648,122414,58884,63530,33355,16237,17118,
36,167530,81189,86341,131034,63243,67791,36496,17946,18550,
37,170865,82894,87971,131020,63003,68017,39845,19891,19954,
38,176003,85534,90469,133321,63991,69330,42682,21543,21139,
39,157853,77170,80683,123246,59870,63376,34607,17300,17307,
40,160812,77893,82919,125411,60266,65145,35401,17627,17774,
41,154139,74699,79440,119850,57679,62171,34289,17020,17269,
42,142203,69087,73116,110841,53364,57477,31362,15723,15639,
43,167961,82801,85160,125618,60818,64800,42343,21983,20360,
44,147036,71945,75091,113949,55191,58758,33087,16754,16333,
45,139057,67276,71781,106427,50795,55632,32630,16481,16149,
46,124955,60566,64389,97758,46980,50778,27197,13586,13611,
47,137256,67400,69856,106405,51602,54803,30851,15798,15053,
48,132527,63826,68701,100078,47352,52726,32449,16474,15975,
49,122845,60156,62689,95115,46195,48920,27730,13961,13769,
50,113134,54780,58354,87583,41877,45706,25551,12903,12648,
51,114555,55118,59437,88889,42341,46548,25666,12777,12889,
52,106624,51393,55231,82158,39168,42990,24466,12225,12241,
53,123658,61440,62218,94940,46729,48211,28718,14711,14007,
54,106054,51095,54959,80739,38562,42177,25315,12533,12782,
55,107601,51601,56000,81223,38615,42608,26378,12986,13392,
56,91450,42157,49293,69815,31729,38086,21635,10428,11207,
57,93373,42536,50837,71205,31927,39278,22168,10609,11559,
58,106712,48279,58433,78037,34529,43508,28675,13750,14925,
59,96716,42717,53999,73432,31955,41477,23284,10762,12522,
60,108828,47991,60837,81673,35442,46231,27155,12549,14606,
61,105336,45189,60147,79367,33435,45932,25969,11754,14215,
62,105224,44305,60919,79208,32536,46672,26016,11769,14247,
63,126669,55317,71352,94221,40445,53776,32448,14872,17576,
64,108541,45508,63033,81014,33344,47670,27527,12164,15363,
65,109151,45321,63830,79490,31889,47601,29661,13432,16229,
66,95798,39344,56454,71674,28788,42886,24124,10556,13568,
67,102220,41324,60896,75023,29091,45932,27197,12233,14964,
68,100873,41189,59684,75412,29964,45448,25461,11225,14236,
69,94722,38051,56671,70708,27457,43251,24014,10594,13420,
70,82660,32490,50170,62244,23745,38499,20416,8745,11671,
71,83637,32940,50697,62868,23873,38995,20769,9067,11702,
72,73834,27698,46136,56278,20486,35792,17556,7212,10344,
73,76897,28911,47986,57052,20371,36681,19845,8540,11305,
74,73887,27378,46509,55960,19989,35971,17927,7389,10538,
75,58099,21131,36968,44263,15613,28650,13836,5518,8318,
76,53745,18881,34864,41829,14243,27586,11916,4638,7278,
77,49123,17156,31967,38090,12907,25183,11033,4249,6784,
78,35581,13398,22183,27435,10185,17250,8146,3213,4933,
79,19822,6805,13017,15630,5308,10322,4192,1497,2695,
80,16902,5943,10959,12970,4453,8517,3932,1490,2442,
81,23639,7535,16104,18090,5664,12426,5549,1871,3678,
82,33775,9591,24184,25820,7248,18572,7955,2343,5612,
83,33571,10129,23442,25682,7734,17948,7889,2395,5494,
84,32040,8759,23281,24659,6646,18013,7381,2113,5268,
85,27813,7237,20576,21270,5530,15740,6543,1707,4836,
86,23852,6260,17592,18460,4817,13643,5392,1443,3949,
87,16860,4664,12196,12843,3555,9288,4017,1109,2908,
88,13174,3699,9475,10078,2832,7246,3096,867,2229,
89,8122,2135,5987,6269,1632,4637,1853,503,1350,
90,6753,1682,5071,5106,1311,3795,1647,371,1276,
91,7462,2007,5455,5683,1587,4096,1779,420,1359,
