0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Астраханская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,946429,444362,502067,604707,278798,325909,341722,165564,176158,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,9380,4905,4475,6074,3150,2924,3306,1755,1551,
1,9580,4833,4747,6175,3118,3057,3405,1715,1690,
2,10568,5468,5100,6869,3522,3347,3699,1946,1753,
3,10717,5623,5094,6792,3556,3236,3925,2067,1858,
4,10733,5530,5203,7054,3676,3378,3679,1854,1825,
5,11466,5957,5509,7469,3880,3589,3997,2077,1920,
6,12020,6250,5770,7929,4119,3810,4091,2131,1960,
7,13989,7192,6797,9185,4812,4373,4804,2380,2424,
8,14459,7342,7117,9361,4742,4619,5098,2600,2498,
9,14385,7393,6992,8934,4633,4301,5451,2760,2691,
10,14493,7521,6972,8963,4695,4268,5530,2826,2704,
11,14708,7687,7021,9142,4754,4388,5566,2933,2633,
12,13215,6655,6560,7928,3889,4039,5287,2766,2521,
13,12445,6248,6197,7227,3530,3697,5218,2718,2500,
14,12845,6278,6567,7573,3599,3974,5272,2679,2593,
15,13453,6843,6610,8115,4223,3892,5338,2620,2718,
16,12104,6229,5875,7201,3686,3515,4903,2543,2360,
17,10160,5070,5090,5798,2879,2919,4362,2191,2171,
18,10386,5324,5062,6372,3324,3048,4014,2000,2014,
19,10814,5677,5137,6797,3684,3113,4017,1993,2024,
20,10068,5167,4901,6053,3121,2932,4015,2046,1969,
21,9880,5023,4857,6144,3117,3027,3736,1906,1830,
22,9323,4974,4349,5712,3075,2637,3611,1899,1712,
23,9481,4792,4689,6011,3019,2992,3470,1773,1697,
24,8912,4695,4217,5584,2934,2650,3328,1761,1567,
25,9135,4595,4540,5847,2877,2970,3288,1718,1570,
26,9074,4544,4530,5886,2823,3063,3188,1721,1467,
27,9126,4677,4449,5902,3073,2829,3224,1604,1620,
28,10442,5159,5283,7044,3449,3595,3398,1710,1688,
29,9895,4939,4956,6515,3235,3280,3380,1704,1676,
30,10530,5238,5292,7029,3360,3669,3501,1878,1623,
31,11750,5892,5858,7677,3715,3962,4073,2177,1896,
32,12856,6409,6447,8197,4025,4172,4659,2384,2275,
33,15194,7491,7703,10059,4883,5176,5135,2608,2527,
34,15177,7368,7809,9762,4568,5194,5415,2800,2615,
35,15932,7528,8404,10476,4810,5666,5456,2718,2738,
36,16656,8080,8576,10755,5139,5616,5901,2941,2960,
37,16032,7807,8225,10500,4982,5518,5532,2825,2707,
38,16642,8280,8362,10828,5307,5521,5814,2973,2841,
39,16032,7678,8354,10591,4927,5664,5441,2751,2690,
40,16277,7695,8582,10949,5054,5895,5328,2641,2687,
