0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Республика Бурятия,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,971922,454989,516933,574492,262186,312306,397430,192803,204627,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,10211,5283,4928,5640,2941,2699,4571,2342,2229,
1,10844,5544,5300,6055,3086,2969,4789,2458,2331,
2,11790,5974,5816,6996,3518,3478,4794,2456,2338,
3,11981,6164,5817,6931,3562,3369,5050,2602,2448,
4,12334,6550,5784,7100,3802,3298,5234,2748,2486,
5,13330,6871,6459,7594,3928,3666,5736,2943,2793,
6,13474,6918,6556,7717,4005,3712,5757,2913,2844,
7,15465,7820,7645,8871,4451,4420,6594,3369,3225,
8,16085,8209,7876,9108,4655,4453,6977,3554,3423,
9,16227,8408,7819,9032,4627,4405,7195,3781,3414,
10,16227,8363,7864,8989,4586,4403,7238,3777,3461,
11,16080,8161,7919,8976,4584,4392,7104,3577,3527,
12,15890,8058,7832,8522,4291,4231,7368,3767,3601,
13,15906,8158,7748,8741,4545,4196,7165,3613,3552,
14,16175,8285,7890,8825,4545,4280,7350,3740,3610,
15,15687,8058,7629,8491,4363,4128,7196,3695,3501,
16,14809,7640,7169,8390,4291,4099,6419,3349,3070,
17,13575,6865,6710,8096,4072,4024,5479,2793,2686,
18,13487,7032,6455,8661,4603,4058,4826,2429,2397,
19,13663,7603,6060,8917,5154,3763,4746,2449,2297,
20,12432,6588,5844,7748,4166,3582,4684,2422,2262,
21,11391,5741,5650,6795,3382,3413,4596,2359,2237,
22,10625,5242,5383,6385,3138,3247,4240,2104,2136,
23,10933,5522,5411,6578,3228,3350,4355,2294,2061,
24,10284,5272,5012,5947,3035,2912,4337,2237,2100,
25,10111,5224,4887,5805,2894,2911,4306,2330,1976,
26,9679,4990,4689,5670,2893,2777,4009,2097,1912,
27,10450,5393,5057,6209,3113,3096,4241,2280,1961,
28,10525,5394,5131,6595,3262,3333,3930,2132,1798,
29,10953,5746,5207,6855,3440,3415,4098,2306,1792,
30,10941,5638,5303,7256,3725,3531,3685,1913,1772,
31,12536,6311,6225,8352,4134,4218,4184,2177,2007,
32,13073,6410,6663,8208,3890,4318,4865,2520,2345,
33,14995,7336,7659,9336,4482,4854,5659,2854,2805,
34,16160,7905,8255,9941,4706,5235,6219,3199,3020,
35,16803,8130,8673,10609,5002,5607,6194,3128,3066,
36,17470,8456,9014,10786,5031,5755,6684,3425,3259,
37,17678,8571,9107,11032,5216,5816,6646,3355,3291,
38,17117,8421,8696,10686,5139,5547,6431,3282,3149,
39,16361,7872,8489,10223,4769,5454,6138,3103,3035,
40,16703,7991,8712,10260,4733,5527,6443,3258,3185,
41,15902,7562,8340,9949,4575,5374,5953,2987,2966,
42,14744,7022,7722,9229,4248,4981,5515,2774,2741,
43,14880,7008,7872,9157,4140,5017,5723,2868,2855,
44,13941,6616,7325,8531,3952,4579,5410,2664,2746,
45,13827,6484,7343,8508,3913,4595,5319,2571,2748,
46,13392,6322,7070,8170,3750,4420,5222,2572,2650,
47,13214,6162,7052,7916,3563,4353,5298,2599,2699,
48,12545,5772,6773,7631,3369,4262,4914,2403,2511,
49,12155,5598,6557,7173,3118,4055,4982,2480,2502,
50,11586,5247,6339,6873,2989,3884,4713,2258,2455,
51,11365,5152,6213,6622,2853,3769,4743,2299,2444,
52,10307,4588,5719,6012,2614,3398,4295,1974,2321,
