0,1,2,3,4,5,6,7,8
"1.8.1. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 
ПО ОСНОВНЫМ ВОЗРАСТНЫМ ГРУППАМ
 на 1 января 2024 г.",,,,,,,,Содержание
,,,,,,,,
"Всё
население","Всё
население,
тыс. человек",в том числе в возрасте:,,,"Удельный вес возрастных групп 
в общей численности населения,
в процентах",,,
,,"моложе
трудосп.",трудосп.,"старше
трудосп.","моложе
трудосп.",трудосп.,"старше
трудосп.",
Российская Федерация,146150.8,26845.8,84711.5,34593.5,18.4,58,23.6,
Центральный федеральный округ,40198.7,6650,23244.8,10303.9,16.5,57.8,25.7,
Белгородская область,1500.7,245.7,862.9,392.1,16.4,57.5,26.1,
Брянская область,1142.4,191,654.9,296.5,16.7,57.3,26,
Владимирская область,1309.9,209.1,742.7,358.1,16,56.7,27.3,
Воронежская область,2273.4,361.9,1305.9,605.6,15.9,57.4,26.7,
Ивановская область,905.9,144.3,514.2,247.4,15.9,56.8,27.3,
Калужская область,1068.4,179.1,618.8,270.5,16.8,57.9,25.3,
Костромская область,566.3,103.7,305.4,157.2,18.3,53.9,27.8,
Курская область,1060.9,178.2,598.1,284.6,16.8,56.4,26.8,
Липецкая область,1116.3,186,638.5,291.8,16.7,57.2,26.1,
Московская область,8651.3,1598.4,5154.8,1898.1,18.5,59.6,21.9,
Орловская область,692.5,111.3,392.1,189.1,16.1,56.6,27.3,
Рязанская область,1082.2,168.4,612.2,301.6,15.6,56.6,27.8,
Смоленская область,864,134.2,494.4,235.4,15.5,57.2,27.3,
Тамбовская область,956.3,134.2,543.1,279,14,56.8,29.2,
Тверская область,1199.7,196.5,674.5,328.7,16.4,56.2,27.4,
Тульская область,1471.1,212.8,839.3,419,14.5,57.1,28.4,
Ярославская область,1187.6,208,669.5,310.1,17.5,56.4,26.1,
г. Москва,13149.8,2087.2,7623.5,3439.1,15.9,58,26.1,
Северо-Западный федеральный округ,13840.4,2246.8,8167.599999999999,3426,16.2,59,24.8,
Республика Карелия,523.9,89.3,292.9,141.7,17,55.9,27.1,
Республика Коми,720.6,133.5,421.29999999999995,165.8,18.5,58.5,23,
Архангельская область,998.1,177.6,563.4,257.1,17.8,56.4,25.8,
Ненецкий автономный округ,42.2,9.3,25.4,7.5,22,60.2,17.8,
Архангельская область без автономии,955.9,168.29999999999998,538,249.6,17.6,56.3,26.1,
Вологодская область,1121.3999999999999,211.8,630.7,278.9,18.9,56.2,24.9,
Калининградская область,1033.9,180.3,612.1,241.5,17.4,59.2,23.4,
Ленинградская область,2035.8,285.9,1247.4,502.5,14,61.3,24.7,
Мурманская область,656.4,123.2,398.1,135.1,18.8,60.6,20.6,
Новгородская область,571.4,99.4,318.9,153.1,17.4,55.8,26.8,
Псковская область,581.1,94.4,325.6,161.1,16.2,56,27.8,
 г. Санкт-Петербург,5597.8,851.4,3357.2,1389.2,15.2,60,24.8,
Южный федеральный округ,16624.1,2981.8,9634.1,4008.2,17.9,58,24.1,
Республика Адыгея,500.6,98.30000000000001,290.5,111.8,19.6,58,22.4,
Республика Калмыкия,266.8,55.3,154.6,56.9,20.7,58,21.3,
Республика Крым,1909.5,351.8,1079.3,478.4,18.4,56.5,25.1,
Краснодарский край,5833,1100,3347.9,1385.1,18.9,57.4,23.7,
Астраханская область,946.4,198.5,542.8,205.1,21,57.4,21.6,
Волгоградская область,2453.9,390.6,1450.5,612.8,15.9,59.1,25,
Ростовская область,4152.5,694.2,2427,1031.3,16.7,58.4,24.9,
г. Севастополь,561.4,93.1,341.5,126.8,16.6,60.8,22.6,
Северо-Кавказский федеральный округ,10251.1,2386,6165.5,1699.6,23.3,60.1,16.6,
Республика Дагестан,3232.2,799.6999999999999,1993.7,438.8,24.7,61.7,13.6,
Республика Ингушетия,527.2,143.3,334,49.9,27.2,63.4,9.4,
Кабардино-Балкарская Республика,905.5,196.5,542,167,21.7,59.9,18.4,
Карачаево-Черкесская Республика,468.3,96,278.5,93.8,20.5,59.5,20,
Республика Северная Осетия – Алания,678.9,133.4,398.4,147.1,19.6,58.7,21.7,
Чеченская Республика,1552.9,494.9,904.5,153.5,31.9,58.2,9.9,
Ставропольский край,2886.1,522.2,1714.4,649.5,18.1,59.4,22.5,
Приволжский федеральный округ,28540.8,5195.4,16245.9,7099.5,18.2,56.9,24.9,
Республика Башкортостан,4064.3,795.7,2332.4,936.2,19.6,57.4,23,
Республика Марий Эл,669.8,128.70000000000002,376.2,164.9,19.2,56.2,24.6,
Республика Мордовия,765.9,109.1,443.5,213.3,14.2,57.9,27.9,
Республика Татарстан,4003,771.8,2296,935.2,19.3,57.4,23.3,
Удмуртская Республика,1434.6,287.9,807.4,339.3,20.1,56.3,23.6,
Чувашская Республика,1167.1,224.8,658.1,284.2,19.3,56.4,24.3,
Пермский край,2495.3,499.5,1412.8,583,20,56.6,23.4,
Кировская область,1129.9,191.7,614.4,323.8,17,54.4,28.6,
Нижегородская область,3060.3,528.3,1734.7,797.3,17.3,56.7,26,
Оренбургская область,1828.7,350.2,1033.5,445,19.2,56.5,24.3,
Пензенская область,1236.1,192.4,699.4,344.3,15.6,56.6,27.8,
Самарская область,3127.8,539.4,1797.3,791.1,17.2,57.5,25.3,
Саратовская область,2385.2,378.3,1386.7,620.2,15.9,58.1,26,
Ульяновская область,1172.8,197.6,653.5,321.7,16.9,55.7,27.4,
Уральский федеральный округ,12262.3,2493,7058.5,2710.8,20.3,57.6,22.1,
Курганская область,753,146.9,395.3,210.8,19.5,52.5,28,
Свердловская область,4222.7,828.2,2401.7,992.8,19.6,56.9,23.5,
Тюменская область,3890.8,860.4,2329.5,700.9,22.1,59.9,18,
Ханты-Мансийский авт. округ – Югра,1759.4,393.4,1084.3,281.7,22.4,61.6,16,
Ямало-Ненецкий авт. округ,516,119.1,331.7,65.2,23.1,64.3,12.6,
Тюменская область без автономий,1615.4,347.9,913.5,354,21.5,56.5,22,
Челябинская область,3395.8,657.5,1932,806.3,19.4,56.9,23.7,
Сибирский федеральный округ,16567.1,3309.2,9504.2,3753.7,20,57.4,22.6,
Республика Алтай,210.8,56,118.5,36.3,26.5,56.2,17.3,
Республика Тыва,337.5,111.1,192.1,34.3,32.9,56.9,10.2,
Республика Хакасия,528.2,111.8,300.8,115.6,21.2,56.9,21.9,
Алтайский край,2115.3,407.9,1179.6,527.8,19.3,55.8,24.9,
Красноярский край,2846.1,564.1,1670.2,611.8,19.8,58.7,21.5,
Иркутская область,2330.5,504.4,1330.1,496,21.6,57.1,21.3,
Кемеровская область – Кузбасс,2547.7,471.9,1466.9,608.9,18.5,57.6,23.9,
Новосибирская область,2789.5,535.1,1606.9,647.5,19.2,57.6,23.2,
Омская область,1818.1,353.7,1022.7,441.7,19.5,56.3,24.2,
Томская область,1043.4,193.2,616.4,233.8,18.5,59.1,22.4,
Дальневосточный федеральный округ,7866.3,1583.6,4690.9,1591.8,20.1,59.6,20.3,
Республика Бурятия,971.9,227.7,561.3,182.9,23.4,57.8,18.8,
Республика Саха (Якутия),1001.7,235.5,608.4,157.8,23.5,60.7,15.8,
Забайкальский край,984.4,213,586.5,184.9,21.6,59.6,18.8,
Камчатский край,288.9,56.1,177.8,55,19.4,61.5,19.1,
Приморский край,1806.4,315.8,1076.6,414,17.5,59.6,22.9,
Хабаровский край,1278.1,240.4,762.4,275.3,18.8,59.6,21.6,
Амурская область,750.1,148.8,446.6,154.7,19.8,59.5,20.7,
Магаданская область,133.4,24.3,83.6,25.5,18.2,62.7,19.1,
Сахалинская область,457.6,82.4,271.1,104.1,18,59.3,22.7,
Еврейская автономная область,145.8,29,85.4,31.4,19.9,58.6,21.5,
