0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Республика Марий Эл,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,669854,311716,358138,463042,209782,253260,206812,101934,104878,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,5398,2836,2562,3799,1973,1826,1599,863,736,
1,5652,2903,2749,4067,2114,1953,1585,789,796,
2,6358,3210,3148,4693,2380,2313,1665,830,835,
3,6625,3332,3293,4869,2455,2414,1756,877,879,
4,6715,3468,3247,5057,2595,2462,1658,873,785,
5,7338,3712,3626,5448,2781,2667,1890,931,959,
6,8041,4056,3985,5864,2940,2924,2177,1116,1061,
7,9372,4743,4629,7015,3557,3458,2357,1186,1171,
8,9629,4944,4685,7153,3712,3441,2476,1232,1244,
9,9788,5039,4749,6892,3507,3385,2896,1532,1364,
10,9868,5083,4785,6933,3574,3359,2935,1509,1426,
11,9623,4925,4698,6850,3467,3383,2773,1458,1315,
12,8943,4584,4359,6319,3229,3090,2624,1355,1269,
13,8454,4339,4115,5996,3057,2939,2458,1282,1176,
14,8606,4406,4200,5898,3003,2895,2708,1403,1305,
15,8343,4225,4118,5683,2880,2803,2660,1345,1315,
16,7998,4105,3893,5477,2829,2648,2521,1276,1245,
17,7065,3702,3363,4922,2579,2343,2143,1123,1020,
18,7170,3715,3455,5330,2809,2521,1840,906,934,
19,7817,4241,3576,5690,3158,2532,2127,1083,1044,
20,7594,4409,3185,5767,3412,2355,1827,997,830,
21,6838,3611,3227,5042,2666,2376,1796,945,851,
22,6359,3320,3039,4644,2434,2210,1715,886,829,
23,6233,3293,2940,4517,2360,2157,1716,933,783,
24,5756,2976,2780,4127,2103,2024,1629,873,756,
25,5684,2966,2718,3945,1977,1968,1739,989,750,
26,5326,2774,2552,3661,1808,1853,1665,966,699,
27,5724,2772,2952,4021,1839,2182,1703,933,770,
28,6267,3099,3168,4488,2096,2392,1779,1003,776,
29,6383,3169,3214,4488,2094,2394,1895,1075,820,
30,6701,3266,3435,4863,2206,2657,1838,1060,778,
31,7664,3737,3927,5599,2501,3098,2065,1236,829,
32,8793,4283,4510,6544,2999,3545,2249,1284,965,
33,10844,5298,5546,8330,3859,4471,2514,1439,1075,
34,10998,5494,5504,8250,3940,4310,2748,1554,1194,
35,11580,5864,5716,8474,4065,4409,3106,1799,1307,
36,12447,6259,6188,9082,4324,4758,3365,1935,1430,
37,12236,6113,6123,8866,4171,4695,3370,1942,1428,
