0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Томская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,1043385,486426,556959,742452,343172,399280,300933,143254,157679,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,8020,4109,3911,5229,2722,2507,2791,1387,1404,
1,8668,4398,4270,5694,2911,2783,2974,1487,1487,
2,9397,4843,4554,6328,3215,3113,3069,1628,1441,
3,9756,5105,4651,6573,3473,3100,3183,1632,1551,
4,10473,5388,5085,7053,3632,3421,3420,1756,1664,
5,11454,5969,5485,7973,4142,3831,3481,1827,1654,
6,12495,6317,6178,8752,4433,4319,3743,1884,1859,
7,13770,6996,6774,9826,4978,4848,3944,2018,1926,
8,14401,7275,7126,10222,5226,4996,4179,2049,2130,
9,14216,7282,6934,9695,4967,4728,4521,2315,2206,
10,14320,7406,6914,9645,4961,4684,4675,2445,2230,
11,13929,7144,6785,9230,4712,4518,4699,2432,2267,
12,13209,6667,6542,8947,4493,4454,4262,2174,2088,
13,12994,6622,6372,9018,4585,4433,3976,2037,1939,
14,13079,6660,6419,8988,4642,4346,4091,2018,2073,
15,13042,6685,6357,8773,4527,4246,4269,2158,2111,
16,12302,6290,6012,8509,4397,4112,3793,1893,1900,
17,11502,5970,5532,8138,4218,3920,3364,1752,1612,
18,13041,6647,6394,10087,5166,4921,2954,1481,1473,
19,13183,6491,6692,10094,4919,5175,3089,1572,1517,
20,13488,6663,6825,10451,5045,5406,3037,1618,1419,
21,13748,7095,6653,10736,5492,5244,3012,1603,1409,
22,11210,5533,5677,8276,3964,4312,2934,1569,1365,
23,11825,5868,5957,8896,4412,4484,2929,1456,1473,
24,10492,5444,5048,7549,3925,3624,2943,1519,1424,
25,10400,5485,4915,7622,4010,3612,2778,1475,1303,
26,9385,4866,4519,7012,3592,3420,2373,1274,1099,
27,9848,5011,4837,6955,3661,3294,2893,1350,1543,
28,10381,5212,5169,7614,3752,3862,2767,1460,1307,
29,9868,4936,4932,7260,3616,3644,2608,1320,1288,
30,10543,5314,5229,7846,3938,3908,2697,1376,1321,
31,12370,6179,6191,9625,4708,4917,2745,1471,1274,
32,15593,7533,8060,12392,5875,6517,3201,1658,1543,
33,18048,8875,9173,13988,6856,7132,4060,2019,2041,
34,18732,9207,9525,14097,6877,7220,4635,2330,2305,
35,18026,8863,9163,13296,6435,6861,4730,2428,2302,
36,19287,9368,9919,14214,6833,7381,5073,2535,2538,
37,19063,9318,9745,14132,6716,7416,4931,2602,2329,
38,19747,9698,10049,15003,7192,7811,4744,2506,2238,
39,18120,8708,9412,12995,6195,6800,5125,2513,2612,
40,19531,9384,10147,14184,6759,7425,5347,2625,2722,
41,18410,8867,9543,13260,6230,7030,5150,2637,2513,
42,16903,8155,8748,12264,5827,6437,4639,2328,2311,
43,17609,8523,9086,13246,6387,6859,4363,2136,2227,
