0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Республика Калмыкия,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,266770,129639,137131,125275,57280,67995,141495,72359,69136,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,2388,1229,1159,1299,655,644,1089,574,515,
1,2400,1235,1165,1297,674,623,1103,561,542,
2,2678,1414,1264,1445,779,666,1233,635,598,
3,2869,1488,1381,1510,792,718,1359,696,663,
4,2980,1520,1460,1526,777,749,1454,743,711,
5,3262,1692,1570,1647,860,787,1615,832,783,
6,3215,1676,1539,1623,823,800,1592,853,739,
7,3555,1867,1688,1858,982,876,1697,885,812,
8,3782,1979,1803,1998,1055,943,1784,924,860,
9,3940,2029,1911,2040,1066,974,1900,963,937,
10,3976,2021,1955,1992,1012,980,1984,1009,975,
11,4042,2063,1979,1982,998,984,2060,1065,995,
12,3912,2002,1910,1855,936,919,2057,1066,991,
13,4096,2051,2045,1993,1036,957,2103,1015,1088,
14,4014,2067,1947,2023,1002,1021,1991,1065,926,
15,4157,2138,2019,1877,958,919,2280,1180,1100,
16,3930,2113,1817,1923,1039,884,2007,1074,933,
17,3223,1645,1578,1712,871,841,1511,774,737,
18,3013,1481,1532,1648,771,877,1365,710,655,
19,2877,1450,1427,1547,760,787,1330,690,640,
20,2911,1495,1416,1409,710,699,1502,785,717,
21,2710,1390,1320,1213,614,599,1497,776,721,
22,2755,1459,1296,1253,661,592,1502,798,704,
23,2719,1385,1334,1337,651,686,1382,734,648,
24,2745,1429,1316,1313,639,674,1432,790,642,
25,2891,1533,1358,1306,673,633,1585,860,725,
26,2743,1559,1184,1204,666,538,1539,893,646,
27,2766,1444,1322,1205,585,620,1561,859,702,
28,2960,1577,1383,1282,664,618,1678,913,765,
29,3144,1631,1513,1333,645,688,1811,986,825,
30,3095,1557,1538,1354,602,752,1741,955,786,
31,3523,1842,1681,1543,748,795,1980,1094,886,
32,3732,1971,1761,1689,800,889,2043,1171,872,
33,4362,2286,2076,2059,980,1079,2303,1306,997,
34,4698,2445,2253,2264,1067,1197,2434,1378,1056,
35,4696,2502,2194,2216,1082,1134,2480,1420,1060,
36,5051,2545,2506,2340,1068,1272,2711,1477,1234,
37,4701,2441,2260,2218,1080,1138,2483,1361,1122,
38,4769,2488,2281,2225,1076,1149,2544,1412,1132,
39,4678,2389,2289,2242,1009,1233,2436,1380,1056,
40,4449,2315,2134,2161,1012,1149,2288,1303,985,
41,4309,2202,2107,2086,985,1101,2223,1217,1006,
42,3855,1930,1925,1873,867,1006,1982,1063,919,
43,4029,2070,1959,1941,914,1027,2088,1156,932,
44,3744,1789,1955,1889,836,1053,1855,953,902,
45,3507,1721,1786,1648,715,933,1859,1006,853,
46,3332,1650,1682,1602,733,869,1730,917,813,
47,3260,1599,1661,1551,686,865,1709,913,796,
48,3268,1616,1652,1498,679,819,1770,937,833,
49,3133,1520,1613,1396,604,792,1737,916,821,
50,2867,1387,1480,1231,534,697,1636,853,783,
51,2768,1338,1430,1182,511,671,1586,827,759,
52,2689,1295,1394,1068,472,596,1621,823,798,
53,2933,1466,1467,1222,560,662,1711,906,805,
54,2971,1444,1527,1189,517,672,1782,927,855,
55,3133,1562,1571,1271,558,713,1862,1004,858,
56,3184,1492,1692,1285,522,763,1899,970,929,
57,3311,1530,1781,1315,537,778,1996,993,1003,
58,3632,1725,1907,1473,639,834,2159,1086,1073,
59,3844,1750,2094,1591,629,962,2253,1121,1132,
60,4076,1877,2199,1688,708,980,2388,1169,1219,
61,4068,1869,2199,1736,712,1024,2332,1157,1175,
62,4221,1970,2251,1771,752,1019,2450,1218,1232,
63,4270,1927,2343,1779,722,1057,2491,1205,1286,
64,4057,1754,2303,1686,629,1057,2371,1125,1246,
65,3772,1624,2148,1611,608,1003,2161,1016,1145,
66,3486,1547,1939,1567,623,944,1919,924,995,
67,3440,1434,2006,1556,543,1013,1884,891,993,
68,3248,1338,1910,1508,561,947,1740,777,963,
69,3090,1240,1850,1477,552,925,1613,688,925,
70,2593,1048,1545,1271,490,781,1322,558,764,
71,2453,929,1524,1236,426,810,1217,503,714,
72,2237,847,1390,1130,402,728,1107,445,662,
73,1958,704,1254,1006,342,664,952,362,590,
74,1804,661,1143,952,339,613,852,322,530,
75,1113,385,728,592,187,405,521,198,323,
76,978,327,651,517,167,350,461,160,301,
77,786,256,530,441,139,302,345,117,228,
78,424,129,295,219,69,150,205,60,145,
79,262,77,185,148,43,105,114,34,80,
80,386,116,270,190,58,132,196,58,138,
81,593,158,435,299,72,227,294,86,208,
82,680,208,472,341,112,229,339,96,243,
83,804,226,578,399,110,289,405,116,289,
84,773,229,544,377,108,269,396,121,275,
85,655,176,479,293,77,216,362,99,263,
86,558,164,394,261,80,181,297,84,213,
87,477,130,347,230,71,159,247,59,188,
88,354,105,249,179,52,127,175,53,122,
89,197,53,144,104,24,80,93,29,64,
