0,1,2,3,4,5,6,7,8,9,10
"1.4. ВОЗРАСТНО-ПОЛОВАЯ СТРУКТУРА НАСЕЛЕНИЯ
РОССИЙСКОЙ ФЕДЕРАЦИИ
на 1 января 2024 г.",,,,,,,,,,Содержание
(в процентах ко всему населению соответствующего разреза),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины 
и женщины",мужчины,женщины,"мужчины 
и женщины",мужчины,женщины,"мужчины 
и женщины",мужчины,женщины,
0 – 4,4.7,5.2,4.3,4.7,5.3,4.2,4.6,4.9,4.3,
5 – 9,6.2,6.9,5.6,6.2,7,5.6,6.2,6.6,5.8,
10 – 14,6.3,7,5.7,6.1,6.8,5.4,7,7.4,6.5,
15 – 19,5.4,5.8,5,5.2,5.9,4.6,5.7,6.1,5.4,
20 – 24,5.1,5.7,4.6,5.1,5.7,4.6,5.2,5.4,4.7,
25 – 29,5.1,5.5,4.6,5.1,5.5,4.7,5,5.5,4.6,
30 – 34,6.9,7.4,6.5,7.2,7.6,6.8,6.2,6.8,5.7,
35 – 39,8.7,9.3,8.3,9.1,9.6,8.7,7.7,8.4,7.2,
40 – 44,8,8.4,7.7,8.3,8.6,8,7.2,7.6,6.9,
45 – 49,7.2,7.3,7,7.3,7.4,7.2,6.8,7,6.7,
50 – 54,6.4,6.5,6.4,6.4,6.5,6.3,6.5,6.6,6.4,
55 – 59,6,5.8,6.1,5.7,5.5,5.9,6.6,6.6,6.7,
60 – 64,6.9,6.4,7.4,6.6,6,7.2,7.9,7.6,8.2,
65 – 69,6.3,5.4,7.1,6.1,5.1,7,6.9,6.2,7.5,
70 лет и более,10.8,7.4,13.7,10.9,7.5,13.8,10.5,7.3,13.4,
Все население,100,100,100,100,100,100,100,100,100,
