0,1,2,3,4,5,6
"13.1. ЧИСЛЕННОСТЬ МУЖЧИН И ЖЕНЩИН
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ
на 1 января 2024 г.",,,,,,Содержание
,,,,,,
"Всё
население",Тыс. человек,,"Удельный вес
в общей численности населения, процент",,"На 1000
мужчин
приходится
женщин",
,мужчины,женщины,мужчины,женщины,,
Российская Федерация,67917.4,78233.4,46.5,53.5,1152,
Центральный федеральный округ,18618.6,21580.1,46.3,53.7,1159,
Белгородская область,694.7,806,46.3,53.7,1160,
Брянская область,522.8,619.6,45.8,54.2,1185,
Владимирская область,594.4,715.5,45.4,54.6,1204,
Воронежская область,1049.8,1223.6,46.2,53.8,1166,
Ивановская область,406.4,499.5,44.9,55.1,1229,
Калужская область,505.3,563.1,47.3,52.7,1114,
Костромская область,256.9,309.4,45.4,54.6,1204,
Курская область,481,579.9,45.3,54.7,1205,
Липецкая область,511,605.3,45.8,54.2,1185,
Московская область,4109.9,4541.4,47.5,52.5,1105,
Орловская область,315.1,377.4,45.5,54.5,1198,
Рязанская область,489.9,592.3,45.3,54.7,1209,
Смоленская область,390.1,473.9,45.1,54.9,1215,
Тамбовская область,440.6,515.7,46.1,53.9,1170,
Тверская область,546.8,652.9,45.6,54.4,1194,
Тульская область,665.8,805.3,45.3,54.7,1210,
Ярославская область,533.2,654.4,44.9,55.1,1227,
г. Москва,6104.9,7044.9,46.4,53.6,1154,
Северо-Западный федеральный округ,6337.5,7502.9,45.8,54.2,1184,
Республика Карелия,234.6,289.3,44.8,55.2,1233,
Республика Коми,332.7,387.9,46.2,53.8,1166,
Архангельская область,461.2,536.9,46.2,53.8,1164,
Ненецкий автономный округ,20.1,22.1,47.5,52.5,1105,
Архангельская область без автономии,441.09999999999997,514.8,46.2,53.8,1167,
Вологодская область,513.7,607.7,45.8,54.2,1183,
Калининградская область,488.2,545.7,47.2,52.8,1118,
Ленинградская область,955.3,1080.5,46.9,53.1,1131,
Мурманская область,309.3,347.1,47.1,52.9,1122,
Новгородская область,256.3,315.1,44.9,55.1,1230,
Псковская область,263.1,318,45.3,54.7,1209,
 г. Санкт-Петербург,2523.1,3074.7,45.1,54.9,1219,
Южный федеральный округ,7790.1,8834,46.9,53.1,1134,
Республика Адыгея,234,266.6,46.7,53.3,1139,
Республика Калмыкия,129.6,137.2,48.6,51.4,1058,
Республика Крым,884.9,1024.6,46.3,53.7,1158,
Краснодарский край,2745.8,3087.2,47.1,52.9,1124,
Астраханская область,444.4,502,47,53,1130,
Волгоградская область,1149.9,1304,46.9,53.1,1134,
Ростовская область,1935.1,2217.4,46.6,53.4,1146,
г. Севастополь,266.4,295,47.5,52.5,1107,
Северо-Кавказский федеральный округ,4967.1,5284,48.5,51.5,1064,
Республика Дагестан,1598.1,1634.1,49.4,50.6,1023,
Республика Ингушетия,262.7,264.5,49.8,50.2,1007,
Кабардино-Балкарская Республика,429.5,476,47.4,52.6,1108,
Карачаево-Черкесская Республика,220.8,247.5,47.2,52.8,1121,
Республика Северная Осетия – Алания,317.1,361.8,46.7,53.3,1141,
Чеченская Республика,778.5,774.4,50.1,49.9,995,
Ставропольский край,1360.4,1525.7,47.1,52.9,1122,
Приволжский федеральный округ,13181.8,15359,46.2,53.8,1165,
Республика Башкортостан,1920.9,2143.4,47.3,52.7,1116,
Республика Марий Эл,311.7,358.1,46.5,53.5,1149,
Республика Мордовия,354.9,411,46.3,53.7,1158,
Республика Татарстан,1868.6,2134.4,46.7,53.3,1142,
Удмуртская Республика,655.7,778.9,45.7,54.3,1188,
Чувашская Республика,539,628.1,46.2,53.8,1165,
Пермский край,1141.1,1354.2,45.7,54.3,1187,
Кировская область,515.3,614.6,45.6,54.4,1193,
Нижегородская область,1384.9,1675.4,45.3,54.7,1210,
Оренбургская область,847.5,981.2,46.3,53.7,1158,
Пензенская область,562.7,673.4,45.5,54.5,1197,
Самарская область,1434.6,1693.2,45.9,54.1,1180,
Саратовская область,1106.3,1278.9,46.4,53.6,1156,
Ульяновская область,538.6,634.2,45.9,54.1,1177,
Уральский федеральный округ,5689,6573.3,46.4,53.6,1155,
Курганская область,341.7,411.3,45.4,54.6,1204,
Свердловская область,1953.3,2269.4,46.3,53.7,1162,
Тюменская область,1840,2050.8,47.3,52.7,1115,
Ханты-Мансийский авт. округ – Югра,845.5,913.9,48.1,51.9,1081,
Ямало-Ненецкий авт. округ,250.3,265.7,48.5,51.5,1061,
Тюменская область без автономий,744.2,871.2,46.1,53.9,1171,
Челябинская область,1554,1841.8,45.8,54.2,1185,
Сибирский федеральный округ,7617.7,8949.4,46,54,1175,
Республика Алтай,99.2,111.6,47.1,52.9,1124,
Республика Тыва,159.3,178.2,47.2,52.8,1119,
Республика Хакасия,242.2,286,45.9,54.1,1181,
Алтайский край,965,1150.3,45.6,54.4,1192,
Красноярский край,1320.2,1525.9,46.4,53.6,1156,
Иркутская область,1069,1261.5,45.9,54.1,1180,
Кемеровская область – Кузбасс,1163.1,1384.6,45.7,54.3,1190,
Новосибирская область,1275.4,1514.1,45.7,54.3,1187,
Омская область,837.9,980.2,46.1,53.9,1170,
Томская область,486.4,557,46.6,53.4,1145,
Дальневосточный федеральный округ,3715.6,4150.7,47.2,52.8,1117,
Республика Бурятия,455,516.9,46.8,53.2,1136,
Республика Саха (Якутия),483.5,518.2,48.3,51.7,1071,
Забайкальский край,463.8,520.6,47.1,52.9,1122,
Камчатский край,140.1,148.8,48.5,51.5,1062,
Приморский край,843.7,962.7,46.7,53.3,1141,
Хабаровский край,602.7,675.4,47.2,52.8,1121,
Амурская область,354,396.1,47.2,52.8,1119,
Магаданская область,64.4,69,48.3,51.7,1071,
Сахалинская область,216.4,241.2,47.3,52.7,1115,
Еврейская автономная область,68.4,77.4,46.9,53.1,1133,
Чукотский автономный округ,23.6,24.4,49.1,50.9,1038,
