0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Северо-Кавказский федеральный округ,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,10251083,4967068,5284015,5219909,2496714,2723195,5031174,2470354,2560820,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,126458,65035,61423,58592,30270,28322,67866,34765,33101,
1,128398,65719,62679,61799,31670,30129,66599,34049,32550,
2,128688,66468,62220,61608,31820,29788,67080,34648,32432,
3,134288,69390,64898,64690,33549,31141,69598,35841,33757,
4,135713,70215,65498,66691,34570,32121,69022,35645,33377,
5,142726,73160,69566,69167,35608,33559,73559,37552,36007,
6,146614,75836,70778,71265,36964,34301,75349,38872,36477,
7,153096,78690,74406,74535,38314,36221,78561,40376,38185,
8,161240,83265,77975,78521,40784,37737,82719,42481,40238,
9,163157,84226,78931,75321,39246,36075,87836,44980,42856,
10,161166,82773,78393,73370,37925,35445,87796,44848,42948,
11,163571,84135,79436,74101,38385,35716,89470,45750,43720,
12,162507,83291,79216,73249,37688,35561,89258,45603,43655,
13,162334,84803,77531,77984,40549,37435,84350,44254,40096,
14,155533,80696,74837,72687,37710,34977,82846,42986,39860,
15,160514,82043,78471,73079,37693,35386,87435,44350,43085,
16,150532,76410,74122,69424,35151,34273,81108,41259,39849,
17,133711,69271,64440,63899,33330,30569,69812,35941,33871,
18,143890,73460,70430,73804,38221,35583,70086,35239,34847,
19,130007,65668,64339,62265,32036,30229,67742,33632,34110,
20,138450,70551,67899,69594,35492,34102,68856,35059,33797,
21,135368,70172,65196,68269,35140,33129,67099,35032,32067,
22,124087,63051,61036,63316,32106,31210,60771,30945,29826,
23,139520,71530,67990,79241,40718,38523,60279,30812,29467,
24,132761,67368,65393,72612,36871,35741,60149,30497,29652,
25,136548,68595,67953,69794,34092,35702,66754,34503,32251,
26,125107,63100,62007,59532,29325,30207,65575,33775,31800,
27,136247,68355,67892,69111,34181,34930,67136,34174,32962,
28,149243,74348,74895,78334,38324,40010,70909,36024,34885,
29,132515,65793,66722,62745,30492,32253,69770,35301,34469,
30,138298,68917,69381,69347,33721,35626,68951,35196,33755,
31,161030,78861,82169,85042,40294,44748,75988,38567,37421,
32,166350,82611,83739,87516,42398,45118,78834,40213,38621,
33,203204,100890,102314,114347,55869,58478,88857,45021,43836,
34,184446,90211,94235,101867,48584,53283,82579,41627,40952,
35,173624,84848,88776,91865,43673,48192,81759,41175,40584,
36,171556,83963,87593,90989,43366,47623,80567,40597,39970,
37,174061,84958,89103,95566,45504,50062,78495,39454,39041,
38,177256,86273,90983,100397,48335,52062,76859,37938,38921,
39,154273,75925,78348,81824,39685,42139,72449,36240,36209,
