0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Курганская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,753002,341685,411317,484819,214204,270615,268183,127481,140702,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,5957,3051,2906,4054,2052,2002,1903,999,904,
1,6268,3159,3109,4264,2183,2081,2004,976,1028,
2,7163,3723,3440,4881,2529,2352,2282,1194,1088,
3,7331,3817,3514,5040,2637,2403,2291,1180,1111,
4,7558,3928,3630,5117,2648,2469,2441,1280,1161,
5,8413,4386,4027,5758,3009,2749,2655,1377,1278,
6,9175,4645,4530,6173,3100,3073,3002,1545,1457,
7,10182,5199,4983,6967,3540,3427,3215,1659,1556,
8,10943,5535,5408,7361,3707,3654,3582,1828,1754,
9,11166,5720,5446,6871,3478,3393,4295,2242,2053,
10,11594,5885,5709,7134,3600,3534,4460,2285,2175,
11,11549,6009,5540,7074,3736,3338,4475,2273,2202,
12,10692,5532,5160,6455,3322,3133,4237,2210,2027,
13,9397,4851,4546,5731,2887,2844,3666,1964,1702,
14,9137,4738,4399,5432,2779,2653,3705,1959,1746,
15,10428,5395,5033,6385,3321,3064,4043,2074,1969,
16,9663,4909,4754,6178,3119,3059,3485,1790,1695,
17,8197,4167,4030,5442,2782,2660,2755,1385,1370,
18,7698,3830,3868,5366,2690,2676,2332,1140,1192,
19,7400,3535,3865,4900,2291,2609,2500,1244,1256,
20,7235,3696,3539,4649,2311,2338,2586,1385,1201,
21,7076,3580,3496,4599,2277,2322,2477,1303,1174,
22,6286,3141,3145,4170,2018,2152,2116,1123,993,
23,6783,3460,3323,4728,2322,2406,2055,1138,917,
24,6078,3088,2990,4337,2117,2220,1741,971,770,
25,5919,3071,2848,4238,2097,2141,1681,974,707,
26,4897,2634,2263,3522,1844,1678,1375,790,585,
27,5492,2826,2666,4019,1989,2030,1473,837,636,
28,5820,2913,2907,4337,2081,2256,1483,832,651,
29,5849,3013,2836,4178,2052,2126,1671,961,710,
30,5955,3038,2917,4233,2087,2146,1722,951,771,
31,6718,3355,3363,4875,2260,2615,1843,1095,748,
32,8218,4198,4020,6019,2866,3153,2199,1332,867,
33,9510,4898,4612,6933,3374,3559,2577,1524,1053,
34,9808,4825,4983,7083,3279,3804,2725,1546,1179,
35,10424,5303,5121,7463,3582,3881,2961,1721,1240,
36,11219,5719,5500,7871,3834,4037,3348,1885,1463,
37,11717,5923,5794,8375,4087,4288,3342,1836,1506,
38,11187,5619,5568,7957,3827,4130,3230,1792,1438,
39,10832,5322,5510,7569,3492,4077,3263,1830,1433,
40,11364,5595,5769,7848,3758,4090,3516,1837,1679,
41,10616,5113,5503,7337,3415,3922,3279,1698,1581,
42,10280,4944,5336,7014,3256,3758,3266,1688,1578,
43,10913,5221,5692,7665,3587,4078,3248,1634,1614,
44,10227,4773,5454,6922,3114,3808,3305,1659,1646,
45,10782,4994,5788,7198,3223,3975,3584,1771,1813,
46,10300,4740,5560,6858,3063,3795,3442,1677,1765,
47,10457,4861,5596,7001,3150,3851,3456,1711,1745,
48,10536,4819,5717,6894,3079,3815,3642,1740,1902,
49,10359,4760,5599,6682,2996,3686,3677,1764,1913,
50,9679,4467,5212,6236,2809,3427,3443,1658,1785,
51,10115,4554,5561,6439,2835,3604,3676,1719,1957,
52,9806,4507,5299,6236,2796,3440,3570,1711,1859,
53,9796,4560,5236,6173,2799,3374,3623,1761,1862,
54,9119,4174,4945,5503,2356,3147,3616,1818,1798,
55,9013,4056,4957,5296,2252,3044,3717,1804,1913,
56,8572,3775,4797,4996,2114,2882,3576,1661,1915,
