0,1,2,3,4,5,6
"13.1. ЧИСЛЕННОСТЬ МУЖЧИН И ЖЕНЩИН
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ
на 1 января 2024 г.",,,,,,Содержание
,,,,,,
"Городское
население",Тыс. человек,,"Удельный вес
в общей численности населения, процент",,"На 1000
мужчин
приходится
женщин",
,мужчины,женщины,мужчины,женщины,,
Российская Федерация,50214,59312.9,45.8,54.2,1181,
Центральный федеральный округ,15177.6,17853.9,45.9,54.1,1176,
Белгородская область,443.4,536.9,45.2,54.8,1211,
Брянская область,356.6,439.6,44.8,55.2,1233,
Владимирская область,454.9,561.5,44.8,55.2,1234,
Воронежская область,710.6,846,45.6,54.4,1191,
Ивановская область,328.3,415.6,44.1,55.9,1266,
Калужская область,373.5,426,46.7,53.3,1140,
Костромская область,188.3,233.6,44.6,55.4,1240,
Курская область,323.2,406.3,44.3,55.7,1257,
Липецкая область,313.4,388.3,44.7,55.3,1239,
Московская область,3183.9,3562.6,47.2,52.8,1119,
Орловская область,205.8,255,44.7,55.3,1239,
Рязанская область,342.2,430.1,44.3,55.7,1257,
Смоленская область,277,350.9,44.1,55.9,1267,
Тамбовская область,260.1,318.4,45,55,1224,
Тверская область,408.3,506.9,44.6,55.4,1241,
Тульская область,477.7,596.7,44.5,55.5,1249,
Ярославская область,425.5,534.6,44.3,55.7,1257,
г. Москва,6104.9,7044.9,46.4,53.6,1154,
Северо-Западный федеральный округ,5337.4,6438.4,45.3,54.7,1206,
Республика Карелия,184.7,234.1,44.1,55.9,1267,
Республика Коми,255.9,305.2,45.6,54.4,1193,
Архангельская область,354.6,423.5,45.6,54.4,1194,
Ненецкий автономный округ,14.7,16.9,46.6,53.4,1148,
Архангельская область без автономии,339.90000000000003,406.6,45.5,54.5,1196,
Вологодская область,364.5,450.3,44.7,55.3,1236,
Калининградская область,369.6,421.6,46.7,53.3,1141,
Ленинградская область,635.1,738.4,46.2,53.8,1163,
Мурманская область,284.7,325.9,46.6,53.4,1145,
Новгородская область,183.5,234.9,43.9,56.1,1280,
Псковская область,181.7,229.8,44.2,55.8,1264,
 г. Санкт-Петербург,2523.1,3074.7,45.1,54.9,1219,
Южный федеральный округ,4864.1,5651.7,46.3,53.7,1162,
Республика Адыгея,111.1,132.5,45.6,54.4,1193,
Республика Калмыкия,57.3,68,45.7,54.3,1187,
Республика Крым,436,522.5,45.5,54.5,1199,
Краснодарский край,1562,1779.2,46.7,53.3,1139,
Астраханская область,278.8,325.9,46.1,53.9,1169,
Волгоградская область,881.4,1024.8,46.2,53.8,1163,
Ростовская область,1291.5,1524.9,45.9,54.1,1181,
г. Севастополь,246,273.9,47.3,52.7,1113,
Северо-Кавказский федеральный округ,2496.7,2723.2,47.8,52.2,1091,
Республика Дагестан,720.7,739.5,49.4,50.6,1026,
Республика Ингушетия,144.6,145.4,49.9,50.1,1005,
Кабардино-Балкарская Республика,216.2,252.1,46.2,53.8,1166,
Карачаево-Черкесская Республика,88.1,105.8,45.4,54.6,1202,
Республика Северная Осетия – Алания,196.4,233.2,45.7,54.3,1188,
Чеченская Республика,314,308.3,50.5,49.5,982,
Ставропольский край,816.7,938.9,46.5,53.5,1150,
Приволжский федеральный округ,9361.2,11302.5,45.3,54.7,1207,
Республика Башкортостан,1177.6,1366.8,46.3,53.7,1161,
Республика Марий Эл,209.8,253.3,45.3,54.7,1207,
Республика Мордовия,219.6,268.4,45,55,1222,
Республика Татарстан,1411.3,1657.9,46,54,1175,
Удмуртская Республика,419.40000000000003,524.1,44.4,55.6,1250,
Чувашская Республика,333.3,419.9,44.2,55.8,1260,
Пермский край,849.2,1042,44.9,55.1,1227,
Кировская область,400,489.2,45,55,1223,
Нижегородская область,1091.6,1357.9,44.6,55.4,1244,
Оренбургская область,495.6,601.1,45.2,54.8,1213,
Пензенская область,379.7,471.6,44.6,55.4,1242,
Самарская область,1123.8,1359.6,45.3,54.7,1210,
Саратовская область,839.5,996.6,45.7,54.3,1187,
Ульяновская область,410.8,494.1,45.4,54.6,1202,
Уральский федеральный округ,4635,5436,46,54,1173,
Курганская область,214.2,270.6,44.2,55.8,1263,
Свердловская область,1667.5,1958.9,46,54,1175,
Тюменская область,1482.2,1676,46.9,53.1,1131,
Ханты-Мансийский авт. округ – Югра,777.4,847.2,47.9,52.1,1090,
Ямало-Ненецкий авт. округ,212.8,226.7,48.4,51.6,1066,
Тюменская область без автономий,492.00000000000006,602.1,45,55,1224,
Челябинская область,1271.1,1530.5,45.4,54.6,1204,
Сибирский федеральный округ,5634.5,6808.2,45.3,54.7,1208,
Республика Алтай,28.9,35.6,44.8,55.2,1234,
Республика Тыва,86.4,101.8,45.9,54.1,1178,
Республика Хакасия,163.4,200.5,44.9,55.1,1227,
Алтайский край,551.9,685.2,44.6,55.4,1242,
Красноярский край,1041.5,1228.8,45.9,54.1,1180,
Иркутская область,811.3,992.7,45,55,1224,
Кемеровская область – Кузбасс,996,1209,45.2,54.8,1214,
Новосибирская область,1004.5,1220.9,45.1,54.9,1216,
Омская область,607.4,734.4,45.3,54.7,1209,
Томская область,343.2,399.3,46.2,53.8,1163,
Дальневосточный федеральный округ,2707.5,3099,46.6,53.4,1145,
Республика Бурятия,262.2,312.3,45.6,54.4,1191,
Республика Саха (Якутия),324.9,352.1,48,52,1084,
Забайкальский край,318.5,368.6,46.4,53.6,1157,
Камчатский край,108.9,117,48.2,51.8,1074,
Приморский край,654.2,762.4,46.2,53.8,1166,
Хабаровский край,496.7,570.6,46.5,53.5,1149,
Амурская область,238.8,275.2,46.5,53.5,1153,
Магаданская область,61.9,66.8,48.1,51.9,1079,
Сахалинская область,178.5,200.3,47.1,52.9,1122,
Еврейская автономная область,46.6,56.7,45.1,54.9,1216,
Чукотский автономный округ,16.3,17,48.9,51.1,1047,
