0,1,2,3,4,5,6,7,8
"1.8.1. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 
ПО ОСНОВНЫМ ВОЗРАСТНЫМ ГРУППАМ
 на 1 января 2024 г.",,,,,,,,Содержание
,,,,,,,,
"Городское
население","Всё
население,
тыс. человек",в том числе в возрасте:,,,"Удельный вес возрастных групп 
в общей численности населения,
в процентах",,,
,,"моложе
трудосп.",трудосп.,"старше
трудосп.","моложе
трудосп.",трудосп.,"старше
трудосп.",
Российская Федерация,109526.9,19855.9,64085.5,25585.5,18.1,58.5,23.4,
Центральный федеральный округ,33031.5,5578.5,19141.1,8311.9,16.9,57.9,25.2,
Белгородская область,980.3000000000001,164.5,574.4,241.4,16.8,58.6,24.6,
Брянская область,796.2,135.8,452.7,207.7,17.1,56.9,26,
Владимирская область,1016.4,168.3,578.9,269.2,16.6,57,26.4,
Воронежская область,1556.6,254.8,906.6,395.2,16.4,58.2,25.4,
Ивановская область,743.9,121.9,424.4,197.6,16.4,57.1,26.5,
Калужская область,799.5,136.4,462,201.1,17.1,57.8,25.1,
Костромская область,421.9,79.4,232.6,109.9,18.8,55.1,26.1,
Курская область,729.5,126.1,415.8,187.6,17.3,57,25.7,
Липецкая область,701.7,120.1,405.5,176.1,17.1,57.8,25.1,
Московская область,6746.5,1326.4,3989.4,1430.7,19.7,59.1,21.2,
Орловская область,460.8,71,265.5,124.3,15.4,57.6,27,
Рязанская область,772.3,122.7,441.2,208.4,15.9,57.1,27,
Смоленская область,627.9,99.2,360.7,168,15.8,57.4,26.8,
Тамбовская область,578.5,82.6,332.1,163.8,14.3,57.4,28.3,
Тверская область,915.2,154,517.1,244.1,16.8,56.5,26.7,
Тульская область,1074.4,156.3,612.4,305.7,14.5,57,28.5,
Ярославская область,960.1,171.8,546.3,242,17.9,56.9,25.2,
г. Москва,13149.8,2087.2,7623.5,3439.1,15.9,58,26.1,
Северо-Западный федеральный округ,11775.8,1916.6,6995.7,2863.5,16.3,59.4,24.3,
Республика Карелия,418.8,73.7,237.5,107.6,17.6,56.7,25.7,
Республика Коми,561.1,104,334.4,122.7,18.5,59.6,21.9,
Архангельская область,778.1,141,450.8,186.3,18.1,57.9,24,
Ненецкий автономный округ,31.6,7,19.4,5.2,22.1,61.3,16.6,
Архангельская область без автономии,746.5,134,431.40000000000003,181.1,18,57.8,24.2,
Вологодская область,814.8,160.7,465.8,188.3,19.7,57.2,23.1,
Калининградская область,791.2,136.4,465.2,189.6,17.2,58.8,24,
Ленинградская область,1373.5,190,847.3,336.2,13.8,61.7,24.5,
Мурманская область,610.6,114,368.6,128,18.7,60.4,20.9,
Новгородская область,418.4,76,235.9,106.5,18.2,56.4,25.4,
Псковская область,411.5,69.4,233,109.1,16.9,56.6,26.5,
 г. Санкт-Петербург,5597.8,851.4,3357.2,1389.2,15.2,60,24.8,
Южный федеральный округ,10515.8,1877.6,6154.1,2484.1,17.9,58.5,23.6,
Республика Адыгея,243.6,48,142.5,53.1,19.7,58.5,21.8,
Республика Калмыкия,125.3,28,70.7,26.6,22.3,56.4,21.3,
Республика Крым,958.5,172.7,544.8,241,18,56.8,25.2,
Краснодарский край,3341.2,656.3,1934.4,750.5,19.6,57.9,22.5,
Астраханская область,604.7,124.8,347.6,132.3,20.6,57.5,21.9,
Волгоградская область,1906.2,297.3,1138.7,470.2,15.6,59.7,24.7,
Ростовская область,2816.4,463.5,1660.1,692.8,16.5,58.9,24.6,
г. Севастополь,519.9,87,315.3,117.6,16.7,60.7,22.6,
Северо-Кавказский федеральный округ,5219.9,1126.7,3209.8,883.4,21.6,61.5,16.9,
Республика Дагестан,1460.2,324.7,950.8,184.7,22.2,65.1,12.7,
Республика Ингушетия,290,77,186.2,26.8,26.5,64.2,9.3,
Кабардино-Балкарская Республика,468.3,93.2,280.4,94.7,19.9,59.9,20.2,
Карачаево-Черкесская Республика,193.9,38.3,115.89999999999999,39.7,19.7,59.7,20.6,
Республика Северная Осетия – Алания,429.6,81.9,252,95.7,19.1,58.7,22.2,
Чеченская Республика,622.3,209,360.4,52.9,33.6,57.9,8.5,
Ставропольский край,1755.6,302.6,1064.1,388.9,17.2,60.6,22.2,
Приволжский федеральный округ,20663.7,3792.9,11913.2,4957.6,18.4,57.7,23.9,
Республика Башкортостан,2544.4,502.6,1493.8,548,19.8,58.7,21.5,
Республика Марий Эл,463.1,92.5,261.4,109.2,20,56.5,23.5,
Республика Мордовия,488,75.2,285.9,126.9,15.4,58.6,26,
Республика Татарстан,3069.2,612.8,1768.5,687.9,20,57.6,22.4,
Удмуртская Республика,943.5,181.7,546.5,215.3,19.3,57.9,22.8,
Чувашская Республика,753.2,157.2,431.2,164.8,20.9,57.3,21.8,
Пермский край,1891.2,371.4,1083.3,436.5,19.6,57.3,23.1,
Кировская область,889.2,157.9,496.2,235.1,17.8,55.8,26.4,
Нижегородская область,2449.5,432.7,1396.9,619.9,17.7,57,25.3,
Оренбургская область,1096.7,197.4,642.3,257,18,58.6,23.4,
Пензенская область,851.3,134.7,486,230.6,15.8,57.1,27.1,
Самарская область,2483.4,427.9,1433.9,621.6,17.2,57.7,25.1,
Саратовская область,1836.1,290.1,1076.5,469.5,15.8,58.6,25.6,
Ульяновская область,904.9,158.8,510.8,235.3,17.5,56.4,26.1,
Уральский федеральный округ,10071,2033,5879.6,2158.4,20.2,58.4,21.4,
Курганская область,484.8,94.7,264,126.1,19.5,54.5,26,
Свердловская область,3626.4,707.6,2088.7,830.1,19.5,57.6,22.9,
Тюменская область,3158.2,696.8,1912.9,548.5,22.1,60.6,17.3,
Ханты-Мансийский авт. округ – Югра,1624.6,364.4,1000.6,259.6,22.4,61.6,16,
Ямало-Ненецкий авт. округ,439.5,95.7,286.7,57.1,21.8,65.2,13,
Тюменская область без автономий,1094.1,236.7,625.6000000000001,231.8,21.6,57.2,21.2,
Челябинская область,2801.6,533.9,1614,653.7,19.1,57.6,23.3,
Сибирский федеральный округ,12442.7,2400.4,7277.9,2764.4,19.3,58.5,22.2,
Республика Алтай,64.5,14.8,39.1,10.6,22.9,60.6,16.5,
Республика Тыва,188.2,59.4,110.3,18.5,31.5,58.6,9.9,
Республика Хакасия,363.9,75.6,208.6,79.7,20.8,57.3,21.9,
Алтайский край,1237.1,230.1,719.3,287.7,18.6,58.1,23.3,
Красноярский край,2270.3,435.5,1364.7,470.1,19.2,60.1,20.7,
Иркутская область,1804,377,1035.4,391.6,20.9,57.4,21.7,
Кемеровская область – Кузбасс,2205,407.8,1277.7,519.5,18.5,57.9,23.6,
Новосибирская область,2225.4,418.7,1303.7,503,18.8,58.6,22.6,
Омская область,1341.8,249.6,768.5,323.7,18.6,57.3,24.1,
Томская область,742.5,131.9,450.6,160,17.8,60.7,21.5,
Дальневосточный федеральный округ,5806.5,1130.2,3514.1,1162.2,19.5,60.5,20,
Республика Бурятия,574.5,127.6,339.6,107.3,22.2,59.1,18.7,
Республика Саха (Якутия),677,149.6,427.3,100.1,22.1,63.1,14.8,
Забайкальский край,687.1,144.7,417.7,124.7,21.1,60.8,18.1,
Камчатский край,225.9,44.4,140.3,41.2,19.7,62.1,18.2,
Приморский край,1416.6,246.7,852.4,317.5,17.4,60.2,22.4,
Хабаровский край,1067.3,198.2,636.2,232.9,18.6,59.6,21.8,
Амурская область,514,99.6,311.7,102.7,19.4,60.6,20,
Магаданская область,128.7,23.4,81,24.3,18.2,63,18.8,
Сахалинская область,378.8,69.1,225.7,84,18.2,59.6,22.2,
Еврейская автономная область,103.3,20.1,60.1,23.1,19.4,58.2,22.4,
Чукотский автономный округ,33.3,6.8,22.1,4.4,20.4,66.3,13.3,
