0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Саратовская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,2385163,1106272,1278891,1836052,839533,996519,549111,266739,282372,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,15749,8152,7597,12363,6363,6000,3386,1789,1597,
1,16299,8437,7862,12789,6656,6133,3510,1781,1729,
2,19533,10160,9373,15691,8192,7499,3842,1968,1874,
3,18629,9611,9018,14807,7629,7178,3822,1982,1840,
4,20039,10298,9741,15768,8128,7640,4271,2170,2101,
5,22180,11517,10663,17469,9114,8355,4711,2403,2308,
6,23254,12074,11180,18315,9511,8804,4939,2563,2376,
7,26505,13663,12842,21092,10792,10300,5413,2871,2542,
8,27964,14429,13535,22149,11518,10631,5815,2911,2904,
9,28170,14606,13564,20709,10703,10006,7461,3903,3558,
10,28070,14534,13536,20678,10774,9904,7392,3760,3632,
11,28088,14438,13650,20867,10750,10117,7221,3688,3533,
12,26451,13610,12841,19605,10056,9549,6846,3554,3292,
13,25236,13082,12154,18884,9733,9151,6352,3349,3003,
14,25851,13243,12608,19382,9881,9501,6469,3362,3107,
15,26261,13375,12886,19572,9927,9645,6689,3448,3241,
16,25200,12914,12286,18717,9597,9120,6483,3317,3166,
17,21999,11258,10741,16679,8618,8061,5320,2640,2680,
18,23112,11886,11226,17968,9325,8643,5144,2561,2583,
19,23971,12420,11551,18780,9936,8844,5191,2484,2707,
20,23825,12446,11379,18747,9758,8989,5078,2688,2390,
21,23799,12331,11468,18325,9354,8971,5474,2977,2497,
22,22777,11899,10878,17631,9072,8559,5146,2827,2319,
23,24015,12149,11866,18164,9054,9110,5851,3095,2756,
24,22989,11495,11494,17832,8786,9046,5157,2709,2448,
25,23092,11883,11209,17611,8673,8938,5481,3210,2271,
26,21524,11137,10387,15908,7948,7960,5616,3189,2427,
27,24719,12507,12212,19336,9652,9684,5383,2855,2528,
28,26404,13146,13258,20896,10232,10664,5508,2914,2594,
29,25452,12907,12545,19405,9621,9784,6047,3286,2761,
30,26637,13488,13149,21307,10563,10744,5330,2925,2405,
31,29981,15024,14957,24071,11733,12338,5910,3291,2619,
32,33593,16537,17056,27888,13488,14400,5705,3049,2656,
33,38429,19218,19211,31162,15058,16104,7267,4160,3107,
34,39054,19403,19651,31588,15235,16353,7466,4168,3298,
35,39782,19968,19814,32159,15730,16429,7623,4238,3385,
36,41130,20640,20490,33038,16041,16997,8092,4599,3493,
37,40590,20270,20320,32631,15889,16742,7959,4381,3578,
38,40545,20243,20302,32624,15930,16694,7921,4313,3608,
39,39244,19333,19911,31313,15076,16237,7931,4257,3674,
40,39080,19345,19735,31082,15004,16078,7998,4341,3657,
41,37114,17772,19342,29383,13773,15610,7731,3999,3732,
42,35562,17343,18219,28045,13425,14620,7517,3918,3599,
43,37740,18325,19415,29972,14319,15653,7768,4006,3762,
44,36199,17218,18981,28453,13284,15169,7746,3934,3812,
45,34643,16487,18156,27241,12664,14577,7402,3823,3579,
46,33977,16151,17826,26484,12369,14115,7493,3782,3711,
47,35608,16921,18687,27705,13029,14676,7903,3892,4011,
48,35617,16926,18691,27579,12873,14706,8038,4053,3985,
49,33459,15941,17518,25583,12038,13545,7876,3903,3973,
50,31658,15035,16623,24193,11409,12784,7465,3626,3839,
51,32669,15400,17269,24907,11626,13281,7762,3774,3988,
52,31396,14637,16759,23595,10885,12710,7801,3752,4049,
53,33435,16001,17434,25356,12019,13337,8079,3982,4097,
54,31041,14695,16346,23377,10938,12439,7664,3757,3907,
55,31855,14970,16885,23613,10929,12684,8242,4041,4201,
56,28981,13297,15684,21388,9638,11750,7593,3659,3934,
57,30482,13890,16592,22212,9858,12354,8270,4032,4238,
58,32008,14255,17753,23431,10138,13293,8577,4117,4460,
59,31837,14471,17366,23118,10278,12840,8719,4193,4526,
60,34844,15589,19255,25547,11171,14376,9297,4418,4879,
61,34102,14953,19149,24652,10506,14146,9450,4447,5003,
62,34950,15030,19920,25262,10481,14781,9688,4549,5139,
63,36311,15613,20698,26401,11029,15372,9910,4584,5326,
64,34187,14345,19842,24804,10041,14763,9383,4304,5079,
65,33344,13692,19652,24515,9751,14764,8829,3941,4888,
66,31420,12823,18597,22902,9091,13811,8518,3732,4786,
67,31859,12735,19124,23723,9164,14559,8136,3571,4565,
68,31853,12822,19031,24024,9486,14538,7829,3336,4493,
69,30876,12195,18681,23247,8927,14320,7629,3268,4361,
70,27015,10468,16547,20531,7747,12784,6484,2721,3763,
71,26850,10350,16500,20701,7850,12851,6149,2500,3649,
72,24976,9134,15842,19071,6831,12240,5905,2303,3602,
73,25271,9056,16215,19927,7001,12926,5344,2055,3289,
74,24665,8720,15945,19368,6697,12671,5297,2023,3274,
75,21343,7450,13893,16950,5801,11149,4393,1649,2744,
76,17826,5978,11848,14047,4715,9332,3779,1263,2516,
77,16881,5509,11372,13438,4364,9074,3443,1145,2298,
78,10749,3482,7267,8636,2776,5860,2113,706,1407,
79,6672,2101,4571,5326,1664,3662,1346,437,909,
80,7087,2203,4884,5567,1749,3818,1520,454,1066,
81,9436,2770,6666,7279,2179,5100,2157,591,1566,
82,13077,3553,9524,9988,2745,7243,3089,808,2281,
83,12337,3420,8917,9346,2664,6682,2991,756,2235,
84,11990,3155,8835,9062,2420,6642,2928,735,2193,
85,10373,2638,7735,7878,2011,5867,2495,627,1868,
86,8399,2166,6233,6395,1648,4747,2004,518,1486,
87,6390,1648,4742,4885,1314,3571,1505,334,1171,
88,4557,1088,3469,3458,847,2611,1099,241,858,
89,2432,629,1803,1908,506,1402,524,123,401,
90,1884,488,1396,1502,407,1095,382,81,301,
91,2319,528,1791,1841,435,1406,478,93,385,
92,1085,272,813,790,218,572,295,54,241,
93,925,250,675,641,186,455,284,64,220,
94,673,152,521,455,107,348,218,45,173,
95,505,135,370,347,115,232,158,20,138,
96,382,101,281,310,94,216,72,7,65,
97,267,65,202,211,57,154,56,8,48,
98,221,74,147,188,67,121,33,7,26,
99,155,41,114,129,41,88,26,–,26,
100 и более,172,40,132,163,38,125,9,2,7,
моложе трудоспособного,378279,195229,183050,290140,149727,140413,88139,45502,42637,
трудоспособного,1386677,719154,667523,1076522,547023,529499,310155,172131,138024,
старше трудоспособного,620207,191889,428318,469390,142783,326607,150817,49106,101711,
