0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Уральский федеральный округ,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,12262295,5689036,6573259,10070981,4635014,5435967,2191314,1054022,1137292,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,117057,60255,56802,96452,49714,46738,20605,10541,10064,
1,120841,61838,59003,99748,51040,48708,21093,10798,10295,
2,129698,66391,63307,107341,55006,52335,22357,11385,10972,
3,131095,67153,63942,108472,55581,52891,22623,11572,11051,
4,135348,69455,65893,112119,57555,54564,23229,11900,11329,
5,147903,76417,71486,122260,63354,58906,25643,13063,12580,
6,155955,79670,76285,129203,65944,63259,26752,13726,13026,
7,174382,89772,84610,145013,74810,70203,29369,14962,14407,
8,182312,93246,89066,150594,77107,73487,31718,16139,15579,
9,184628,95153,89475,148864,76633,72231,35764,18520,17244,
10,183033,93612,89421,147230,75435,71795,35803,18177,17626,
11,183799,94292,89507,147699,75848,71851,36100,18444,17656,
12,172718,88746,83972,138015,70854,67161,34703,17892,16811,
13,161114,82417,78697,130303,66571,63732,30811,15846,14965,
14,156173,80130,76043,124880,64026,60854,31293,16104,15189,
15,156911,80309,76602,124805,63949,60856,32106,16360,15746,
16,146812,75030,71782,117392,59970,57422,29420,15060,14360,
17,133630,68688,64942,108943,55997,52946,24687,12691,11996,
18,128954,64638,64316,106082,52941,53141,22872,11697,11175,
19,126980,62347,64633,103873,50589,53284,23107,11758,11349,
20,125981,63544,62437,103546,51908,51638,22435,11636,10799,
21,123661,62736,60925,101859,51505,50354,21802,11231,10571,
22,116518,59292,57226,95731,48295,47436,20787,10997,9790,
23,122162,62394,59768,101469,51373,50096,20693,11021,9672,
24,113783,57444,56339,94580,47338,47242,19203,10106,9097,
25,118005,60930,57075,97992,50239,47753,20013,10691,9322,
26,109848,56128,53720,91623,46374,45249,18225,9754,8471,
27,118306,60422,57884,99005,50172,48833,19301,10250,9051,
28,126375,64685,61690,105638,53396,52242,20737,11289,9448,
29,128771,65130,63641,108019,53883,54136,20752,11247,9505,
30,127871,64616,63255,108276,53939,54337,19595,10677,8918,
31,146184,72962,73222,124504,60944,63560,21680,12018,9662,
32,164744,82310,82434,140755,69207,71548,23989,13103,10886,
33,191981,96169,95812,164090,81006,83084,27891,15163,12728,
34,199034,98284,100750,169622,82570,87052,29412,15714,13698,
35,211766,105140,106626,180078,87877,92201,31688,17263,14425,
36,223413,110781,112632,189393,92446,96947,34020,18335,15685,
37,226193,112205,113988,193051,94432,98619,33142,17773,15369,
38,221951,110069,111882,189400,92783,96617,32551,17286,15265,
39,211059,102850,108209,179291,86512,92779,31768,16338,15430,
40,215109,103779,111330,182194,87178,95016,32915,16601,16314,
41,201394,96462,104932,170786,81172,89614,30608,15290,15318,
42,189772,90778,98994,159986,75736,84250,29786,15042,14744,
43,199815,96163,103652,170117,81352,88765,29698,14811,14887,
44,183827,86795,97032,155003,72557,82446,28824,14238,14586,
45,183771,86517,97254,154555,72256,82299,29216,14261,14955,
46,177046,82547,94499,147886,68457,79429,29160,14090,15070,
47,180481,84786,95695,151432,70538,80894,29049,14248,14801,
48,180369,84296,96073,150732,69837,80895,29637,14459,15178,
49,170098,79143,90955,140767,64963,75804,29331,14180,15151,
50,160610,74528,86082,132978,61145,71833,27632,13383,14249,
51,160915,74800,86115,133015,61401,71614,27900,13399,14501,
52,153468,71610,81858,126336,58557,67779,27132,13053,14079,
53,156582,73493,83089,129393,60568,68825,27189,12925,14264,
54,142518,66166,76352,116105,53489,62616,26413,12677,13736,
55,139319,64144,75175,112902,51596,61306,26417,12548,13869,
56,130564,59275,71289,104437,46811,57626,26127,12464,13663,
57,135431,61471,73960,108227,48727,59500,27204,12744,14460,
58,143858,64833,79025,114978,51402,63576,28880,13431,15449,
