0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Калужская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,1068410,505328,563082,799470,373503,425967,268940,131825,137115,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,8321,4290,4031,6570,3390,3180,1751,900,851,
1,8581,4406,4175,6737,3477,3260,1844,929,915,
2,9154,4680,4474,7228,3652,3576,1926,1028,898,
3,9718,5018,4700,7589,3919,3670,2129,1099,1030,
4,9810,5099,4711,7561,3910,3651,2249,1189,1060,
5,11438,5830,5608,8796,4573,4223,2642,1257,1385,
6,11855,6091,5764,9209,4694,4515,2646,1397,1249,
7,13159,6667,6492,10243,5193,5050,2916,1474,1442,
8,13479,6888,6591,10367,5272,5095,3112,1616,1496,
9,12469,6373,6096,9323,4725,4598,3146,1648,1498,
10,12287,6276,6011,9134,4641,4493,3153,1635,1518,
11,12538,6406,6132,9356,4754,4602,3182,1652,1530,
12,11811,5997,5814,8780,4424,4356,3031,1573,1458,
13,12062,6065,5997,9020,4514,4506,3042,1551,1491,
14,11318,5847,5471,8234,4261,3973,3084,1586,1498,
15,11131,5778,5353,8253,4248,4005,2878,1530,1348,
16,10793,5555,5238,8109,4174,3935,2684,1381,1303,
17,10111,5141,4970,7634,3866,3768,2477,1275,1202,
18,10260,5239,5021,7883,4015,3868,2377,1224,1153,
19,10567,5542,5025,7843,4099,3744,2724,1443,1281,
20,10666,5555,5111,7915,4088,3827,2751,1467,1284,
21,10009,5361,4648,7413,3951,3462,2596,1410,1186,
22,10253,5541,4712,7620,4110,3510,2633,1431,1202,
23,10259,5732,4527,7738,4353,3385,2521,1379,1142,
24,10305,5805,4500,7734,4385,3349,2571,1420,1151,
25,10367,5559,4808,7639,4074,3565,2728,1485,1243,
26,10195,5675,4520,7687,4333,3354,2508,1342,1166,
27,10266,5492,4774,7625,4056,3569,2641,1436,1205,
28,11572,6049,5523,8781,4554,4227,2791,1495,1296,
29,11214,5935,5279,8549,4483,4066,2665,1452,1213,
30,11439,5895,5544,8619,4407,4212,2820,1488,1332,
31,12813,6734,6079,9671,5031,4640,3142,1703,1439,
32,14407,7503,6904,10965,5660,5305,3442,1843,1599,
33,16516,8472,8044,12524,6481,6043,3992,1991,2001,
34,17783,9179,8604,13603,6982,6621,4180,2197,1983,
35,18407,9568,8839,14068,7297,6771,4339,2271,2068,
36,19989,10189,9800,15223,7734,7489,4766,2455,2311,
37,19753,10106,9647,14939,7560,7379,4814,2546,2268,
38,19057,9927,9130,14316,7421,6895,4741,2506,2235,
39,18783,9866,8917,14300,7472,6828,4483,2394,2089,
40,18924,9709,9215,14381,7338,7043,4543,2371,2172,
41,17123,8800,8323,12994,6617,6377,4129,2183,1946,
42,16419,8354,8065,12399,6243,6156,4020,2111,1909,
43,17099,8569,8530,12750,6312,6438,4349,2257,2092,
44,16152,7992,8160,12125,5946,6179,4027,2046,1981,
45,16376,8170,8206,12250,5965,6285,4126,2205,1921,
46,15070,7575,7495,11181,5483,5698,3889,2092,1797,
47,15841,7849,7992,11792,5720,6072,4049,2129,1920,
48,15726,7731,7995,11877,5712,6165,3849,2019,1830,
49,14587,7190,7397,10814,5224,5590,3773,1966,1807,
50,14016,6812,7204,10286,4837,5449,3730,1975,1755,
51,14315,6945,7370,10545,4984,5561,3770,1961,1809,
52,13858,6684,7174,10182,4752,5430,3676,1932,1744,
53,14374,6950,7424,10690,5113,5577,3684,1837,1847,
54,13018,6170,6848,9323,4305,5018,3695,1865,1830,
55,12956,6129,6827,9428,4361,5067,3528,1768,1760,
56,12451,5823,6628,8942,4031,4911,3509,1792,1717,
57,12799,5906,6893,9233,4107,5126,3566,1799,1767,
58,14291,6546,7745,10467,4672,5795,3824,1874,1950,
59,13198,5857,7341,9506,4102,5404,3692,1755,1937,
60,14758,6549,8209,10677,4594,6083,4081,1955,2126,
61,15271,6520,8751,11116,4612,6504,4155,1908,2247,
62,15396,6474,8922,10923,4391,6532,4473,2083,2390,
63,16707,7062,9645,12076,4897,7179,4631,2165,2466,
64,15566,6393,9173,11256,4431,6825,4310,1962,2348,
65,16366,6755,9611,11936,4733,7203,4430,2022,2408,
66,15066,6216,8850,10831,4244,6587,4235,1972,2263,
67,15101,6257,8844,11034,4433,6601,4067,1824,2243,
68,14193,5544,8649,10561,3966,6595,3632,1578,2054,
69,13483,5171,8312,9906,3694,6212,3577,1477,2100,
70,11668,4503,7165,8668,3247,5421,3000,1256,1744,
71,11722,4406,7316,8804,3217,5587,2918,1189,1729,
72,10969,4059,6910,8202,2915,5287,2767,1144,1623,
73,10688,3966,6722,8136,2977,5159,2552,989,1563,
74,10182,3564,6618,7739,2637,5102,2443,927,1516,
75,8176,2747,5429,6276,2077,4199,1900,670,1230,
76,7729,2540,5189,6008,1910,4098,1721,630,1091,
77,6464,2129,4335,4970,1635,3335,1494,494,1000,
78,4014,1335,2679,3135,1037,2098,879,298,581,
79,2709,829,1880,2125,647,1478,584,182,402,
80,2350,736,1614,1782,569,1213,568,167,401,
81,3572,908,2664,2607,656,1951,965,252,713,
82,5014,1305,3709,3895,1026,2869,1119,279,840,
83,4683,1132,3551,3537,877,2660,1146,255,891,
84,4424,1081,3343,3300,847,2453,1124,234,890,
85,4143,915,3228,3057,672,2385,1086,243,843,
86,3830,869,2961,2965,701,2264,865,168,697,
87,2687,584,2103,1966,436,1530,721,148,573,
88,1814,381,1433,1317,276,1041,497,105,392,
89,1074,227,847,773,175,598,301,52,249,
90,1036,212,824,770,173,597,266,39,227,
91,1007,178,829,678,119,559,329,59,270,
92,746,159,587,585,137,448,161,22,139,
93,724,138,586,585,127,458,139,11,128,
94,434,87,347,324,74,250,110,13,97,
95,345,78,267,290,68,222,55,10,45,
96,240,80,160,199,78,121,41,2,39,
97,169,21,148,148,15,133,21,6,15,
98,111,38,73,92,38,54,19,–,19,
99,141,46,95,134,46,88,7,–,7,
100 и более,130,42,88,124,42,82,6,–,6,
моложе трудоспособного,179131,91711,87420,136400,69647,66753,42731,22064,20667,
