0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Кировская область,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,1129935,515332,614603,889197,399959,489238,240738,115373,125365,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,8433,4370,4063,6926,3587,3339,1507,783,724,
1,8885,4568,4317,7324,3777,3547,1561,791,770,
2,7995,4098,3897,6608,3402,3206,1387,696,691,
3,9021,4640,4381,7663,3921,3742,1358,719,639,
4,9844,4992,4852,8302,4217,4085,1542,775,767,
5,11192,5745,5447,9428,4830,4598,1764,915,849,
6,12365,6336,6029,10516,5396,5120,1849,940,909,
7,14269,7198,7071,12098,6127,5971,2171,1071,1100,
8,15037,7652,7385,12605,6433,6172,2432,1219,1213,
9,13969,7174,6795,11421,5883,5538,2548,1291,1257,
10,14183,7240,6943,11488,5846,5642,2695,1394,1301,
11,14078,7250,6828,11463,5885,5578,2615,1365,1250,
12,13022,6701,6321,10528,5402,5126,2494,1299,1195,
13,13500,6966,6534,10990,5675,5315,2510,1291,1219,
14,13082,6652,6430,10402,5288,5114,2680,1364,1316,
15,12850,6491,6359,10128,5125,5003,2722,1366,1356,
16,12337,6406,5931,10277,5314,4963,2060,1092,968,
17,11504,5922,5582,9872,5105,4767,1632,817,815,
18,10523,5140,5383,9297,4488,4809,1226,652,574,
19,10385,5195,5190,8794,4315,4479,1591,880,711,
20,9708,4979,4729,7939,3934,4005,1769,1045,724,
21,9799,5043,4756,8022,4050,3972,1777,993,784,
22,9074,4550,4524,7587,3727,3860,1487,823,664,
23,9173,4733,4440,7727,3909,3818,1446,824,622,
24,7892,4061,3831,6679,3370,3309,1213,691,522,
25,8568,4445,4123,7373,3676,3697,1195,769,426,
26,7834,4221,3613,6731,3490,3241,1103,731,372,
27,8387,4163,4224,7275,3491,3784,1112,672,440,
28,9062,4708,4354,7845,3932,3913,1217,776,441,
29,8813,4502,4311,7515,3716,3799,1298,786,512,
30,9324,4678,4646,8009,3923,4086,1315,755,560,
31,10742,5499,5243,9168,4557,4611,1574,942,632,
32,12717,6462,6255,10771,5329,5442,1946,1133,813,
33,15448,7788,7660,13257,6481,6776,2191,1307,884,
34,16516,8243,8273,14088,6896,7192,2428,1347,1081,
35,16780,8479,8301,14186,6982,7204,2594,1497,1097,
36,18271,9108,9163,15441,7581,7860,2830,1527,1303,
37,19690,9751,9939,16538,7984,8554,3152,1767,1385,
38,19345,9762,9583,16278,8104,8174,3067,1658,1409,
39,18399,9063,9336,15349,7364,7985,3050,1699,1351,
40,19733,9731,10002,16292,7858,8434,3441,1873,1568,
41,18079,8870,9209,14881,7082,7799,3198,1788,1410,
42,17672,8690,8982,14641,7097,7544,3031,1593,1438,
43,19012,9310,9702,15781,7596,8185,3231,1714,1517,
44,17008,8300,8708,13853,6648,7205,3155,1652,1503,
45,17520,8377,9143,14141,6648,7493,3379,1729,1650,
46,16213,7745,8468,12960,6061,6899,3253,1684,1569,
47,17364,8332,9032,13786,6490,7296,3578,1842,1736,
48,16906,8110,8796,13450,6352,7098,3456,1758,1698,
49,15962,7479,8483,12487,5770,6717,3475,1709,1766,
50,14978,7005,7973,11641,5361,6280,3337,1644,1693,
51,14876,7049,7827,11510,5395,6115,3366,1654,1712,
52,14470,6802,7668,11019,5110,5909,3451,1692,1759,
53,14650,6929,7721,11075,5128,5947,3575,1801,1774,
54,13073,5888,7185,9494,4244,5250,3579,1644,1935,
55,13268,6154,7114,9535,4372,5163,3733,1782,1951,
56,12815,5822,6993,9082,4088,4994,3733,1734,1999,
57,13971,6180,7791,9837,4210,5627,4134,1970,2164,
58,14989,6633,8356,10538,4551,5987,4451,2082,2369,
